Hostplus Superannuation Fund,,,,
HC High Growth Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC High Growth Option —Assets,,,Summary,
AIRBNB INC,BMGYYH4,99,"21,096",0.00%
AISIN CORP,6010702,63,"1,143",0.00%
AITKEN SPENCE PLC SPEN,6009391,"225,224","180,021",0.02%
AJINOMOTO INC COM,6010906,88,"5,845",0.00%
AK TRANSNEFT PJSC,B59NHY7,288,0,0.00%
AKAMAI TECHNOLOGIES COM STK USD0.01,2507457,29,"4,553",0.00%
AKER BP ASA,B1L95G3,49,"1,547",0.00%
AKZO NOBEL,BJ2KSG2,38,"3,661",0.00%
ALBEMARLE CORP,2046853,26,"3,596",0.00%
ALBERTSONS COS INC - CLASS A,BYNQ369,97,"3,068",0.00%
ALCOA CORP,BYNF418,"3,663","223,523",0.02%
ALCOA CORP-CDI,BSY2LN7,"89,830","5,328,708",0.51%
ALCON INC,BJT1GR5,102,"14,000",0.00%
ALDAR PROPERTIES PJSC ALDAR,B0LX3Y2,"96,651","326,396",0.03%
ALEXANDRIA REAL ESTATE EQUIT COM STK USD,2009210,43,"6,835",0.00%
ALFA LAVAL AB,7332687,139,"9,429",0.00%
ALIBABA GROUP HOLDING LTD,BK6YZP5,"44,489","762,213",0.07%
ALIBABA GROUP HOLDING-SP ADR,BP41ZD1,"3,391","464,374",0.04%
ALIGN TECHNOLOGY INC COM USD0.0001,2679204,"1,281","431,414",0.04%
ALIMENTATION COUCHE-TARD INC,BL56KN2,218,"19,478",0.00%
ALLEGION PLC CIM USD0.01 'WI',BFRT3W7,"1,385","292,399",0.03%
ALLFUNDS GROUP PLC,BNTJ354,"87,517","737,699",0.07%
ALLIANT ENERGY CORP COM,2973821,49,"4,645",0.00%
ALLIANZ SE-REG,5231485,85,"41,933",0.00%
ALLSTATE CORP COM,2019952,60,"18,792",0.00%
ALLY FINANCIAL INC ALLY,B72XK05,70,"4,090",0.00%
ALNYLAM PHARMACEUTICALS INC COM USD0.01,B00FWN1,26,"10,011",0.00%
ALPHA HPA LTD,BH0K666,"136,916","121,855",0.01%
ALPHA METALLURGICAL RESOURCE,BMFND53,342,"110,425",0.01%
ALPHABET INC-CL A,BYVY8G0,"12,718","3,888,294",0.37%
ALPHABET INC-CL C,BYY88Y7,"4,533","1,394,289",0.13%
ALS LTD,B86SZR5,"170,608","2,572,772",0.24%
ALSTOM,B0DJ8Q5,105,"3,798",0.00%
ALSTOM SA-SCRIP,BMY8SG5,0,0,0.00%
ALTAGAS LTD COM NPV,B43WJC5,19,718,0.00%
ALTIUS MINERALS CORPORATION COM NPV,2122355,"10,261","306,758",0.03%
ALTRIA GROUP INC,2692632,390,"32,933",0.00%
ALUMINUM CORP OF CHINA LTD,BP3R4D3,"23,192","37,501",0.00%
AMADEUS IT GROUP SA,B3MSM28,"4,313","491,921",0.05%
AMAERO INTERNATIONAL LTD,BKRQJZ8,"435,789","108,947",0.01%
AMAZON COM INC COM,2000019,"18,297","6,483,323",0.61%
AMCOR PLC,BJ1F307,280,"4,251",0.00%
AMCOR PLC-CDI,6066608,"186,052","2,785,204",0.26%
AMERADA HESS CORP COM,2023748,59,"12,671",0.00%
AMEREN CORP COM,2050832,78,"11,188",0.00%
AMERICA MOVIL SAB DE C-SER B,BMVRB77,"163,483","189,850",0.02%
AMERICA MOVIL SAB DE CV,BNHN4P5,"62,161","1,436,696",0.14%
AMERICAN AIRLINES GROUP INC COM USD1,BCV7KT2,"8,642","243,274",0.02%
AMERICAN ELEC PWR INC COM,2026242,110,"16,426",0.00%
AMERICAN EXPRESS CO COM,2026082,"4,346","2,083,152",0.20%
AMERICAN FINL GROUP IN COM,2134532,15,"3,278",0.00%
AMERICAN HOMES 4 RENT- A AMERICAN HOMES,BCF5RR9,89,"5,372",0.00%
AMERICAN INTL GROUP IN COM,2027342,"7,703","905,701",0.09%
AMERICAN TOWER CORP COM NEW USD0.01,B7FBFL2,101,"30,032",0.00%
AMERICAN WATER WORKS CO INC COM STK USD0,B2R3PV1,53,"10,579",0.00%
AMERIPRISE FINANCIAL INC COM,B0J7D57,24,"20,575",0.00%
AMETEK INC COM USD0.01,2089212,43,"12,436",0.00%
AMGEN INC COM,2023607,122,"51,559",0.00%
AMOREPACIFIC CORP,B15SK50,"4,974","571,948",0.05%
AMOTIV LTD,BQH8HH4,"19,479","206,475",0.02%
AMP LIMITED,6709958,"127,885","202,697",0.02%
AMPHENOL CORP-CL A CL A,2145084,"1,590","178,307",0.02%
AMPLIFON SPA EUR0.02,B14NJ71,18,740,0.00%
