Hostplus Superannuation Fund,,,,
HC High Growth Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC High Growth Option —Assets,,,Summary,
CAMDEN PROPERTY TRUST SBI USD0.01,2166320,32,"6,044",0.00%
CAN APARTMENT PROP REAL ESTA,2117599,20,972,0.00%
CANADIAN NAT RES LTD COM,2171573,"8,252","411,252",0.04%
CANADIAN NATL RY CO COM,2180632,125,"20,413",0.00%
CANADIAN PACIFIC KANSAS CITY,CA13645T1003,204,"23,823",0.00%
CANADIAN TIRE CORP-CLASS A,2172286,8,"1,275",0.00%
CANADIAN UTILITIES LTD A CLASS'A'COM NON,2172639,27,"1,070",0.00%
CANON INC ORD,6172323,246,"13,071",0.00%
CANSINO BIOLOGICS INC-A,BMD9JD3,201,"2,699",0.00%
CAPCOM CO LTD,6173694,94,"3,348",0.00%
CAPGEMINI SE,4163437,40,"10,564",0.00%
CAPITAL ONE FINANCIAL CORP,2654461,"1,977","569,473",0.05%
CAPITALAND INTEGRATED COMMER,6420129,"2,718","6,210",0.00%
CAPITALAND INVESTMENT LTD/SI,BNHXFJ6,980,"3,039",0.00%
CAPITEC BANK HOLDINGS LTD ZAR0.01,6440859,"2,619","702,623",0.07%
CAPLAND ASCENDAS REIT,6563875,971,"2,955",0.00%
CAPRAL LIMITED,6013972,"12,206","121,448",0.01%
CAPRICORN METALS LTD,BDD98W2,"201,716","1,266,775",0.12%
CAPSTONE COPPER CORP,BMY5XY9,"3,005","30,004",0.00%
CAPSTONE COPPER CORP-CDI,BQXH1K6,"37,549","368,355",0.03%
CARAVEL MINERALS LTD,B90KY77,"328,762","62,465",0.01%
CARAVEL MINERALS LTD-CW25,BNSP5H9,"12,882",232,0.00%
CARDINAL HEALTH INC COM,2175672,56,"10,747",0.00%
CARL ZEISS MEDITEC AG NPV,5922961,13,"1,007",0.00%
CARLISLE COS INC COM USD1,2176318,14,"8,047",0.00%
CARLSBERG AS-B,4169219,25,"3,818",0.00%
CARLYLE GROUP INC/THE,BKRTG56,53,"4,350",0.00%
CARMAX INC COM,2983563,29,"3,857",0.00%
CARNIVAL CORP COM,2523044,234,"9,405",0.00%
CARREFOUR SA,5641567,"1,137","26,116",0.00%
CARRIER GLOBAL CORP-W/I,BK4N0D7,196,"21,571",0.00%
CARSALES.COM.AU LTD NPV,BW0BGZ3,"54,559","1,965,752",0.19%
CARVANA CO CVNA,BYQHPG3,903,"296,725",0.03%
CATERPILLAR INC DEL COM,2180201,113,"66,345",0.01%
CBOE GLOBAL MARKETS INC,B5834C5,29,"9,163",0.00%
CBRE GROUP INC,B6WVMH3,"3,760","797,219",0.08%
CCL INDUSTRIES INC - CL B 'B'NON-VTG COM,2159795,20,"1,626",0.00%
CDN IMPERIAL BK OF COM COM,2170525,167,"17,046",0.00%
CDW CORP/DE COM USD0.01,BBM5MD6,"2,316","651,041",0.06%
CELANESE CORP-SERIES A COM SERIES 'A' US,B05MZT4,17,"1,854",0.00%
CELLNEX TELECOM SAU CLNX,BX90C05,119,"6,047",0.00%
CELSIUS HOLDINGS INC,B19HX21,"2,613","111,155",0.01%
CEMEX SA -SPONS ADR PART CER,2488671,"34,113","310,743",0.03%
CENCORA INC,2795393,"1,420","515,150",0.05%
CENERGY HOLDINGS SA,BE0974303357 (ISIN),"3,606","56,392",0.01%
CENOVUS ENERGY INC COM NPV,B57FG04,348,"8,520",0.00%
CENTENE CORP COM USD0.001,2807061,557,"54,533",0.01%
CENTERPOINT ENERGY INC COM,2440637,150,"7,699",0.00%
CENTRAL GLASS CO LTD CENTRAL GLASS CO LT,6184306,"2,616","89,271",0.01%
CENTRAL JAPAN RAILWAY CO,6183552,139,"4,244",0.00%
CENTRICA PLC,B033F22,"33,578","90,741",0.01%
Centuria Capital Group,6518745,"93,066","165,192",0.02%
CENTURIA INDUSTRIAL REIT,BD31FD8,"94,262","265,820",0.03%
CENTURIA OFFICE REIT,BKTW448,"91,285","100,413",0.01%
CETTIRE LTD,BN7J464,"86,812","131,086",0.01%
CEYLON GUARDIAN INVESTMENT GUAR,6183080,"17,581","15,264",0.00%
CF INDUSTRIES HOLDINGS INC COM USD0.01,B0G4K50,42,"5,847",0.00%
CGI INC GIB/A,BJ2L575,"2,807","495,863",0.05%
CHALICE MINING LTD,B0ZGW28,"139,331","153,961",0.01%
CHALLENGER LTD,6726300,"20,967","126,012",0.01%
CHAMPION IRON LTD,BLD3778,"13,953","81,165",0.01%
CHAMPION IRON LTD CIA,BLD1SB3,"67,482","388,021",0.04%
CHAMPIONX CORP-W/I,BMW7N69,"9,014","395,871",0.04%
CHANGCHUN HIGH & NEW TECH-A,BD5CDB3,395,"8,648",0.00%
CHANGSHA ZOOMLION HEAVY INDS,BD5CPZ1,"48,199","76,665",0.01%
CHARLES RIVER LABORATORIES COM,2604336,10,"3,033",0.00%
CHARTER COMMUNICATIONS INC,BZ6VT82,22,"11,942",0.00%
CHARTER HALL GROUP NPV (STAPLED),B15F6S6,"151,014","2,167,044",0.21%
CHARTER HALL LONG WALE REIT CLW,BDB46J2,"41,082","153,648",0.01%
CHARTER HALL RETAIL REIT,6225595,"125,377","394,936",0.04%
CHARTER HALL SOCIAL INFRASTR,BHJVMY0,379,974,0.00%
CHECK POINT SOFTWARE T ORD,2181334,"5,366","1,617,961",0.15%
CHENGDU M&S ELECTRONICS TE-A,BLB3F09,"2,362","17,203",0.00%
CHENIERE ENERGY INC COM STK USD0.003,2654364,52,"18,176",0.00%
CHEVRON CORP COM USD0.75,2838555,650,"152,114",0.01%
CHIBA BANK LTD/THE,6190563,303,"3,807",0.00%
CHINA CONSTRUCTION BANK-A,BP3R3L4,"77,221","149,328",0.01%
CHINA CONSTRUCTION BANK-H,B0LMTQ3,"414,482","558,442",0.05%
CHINA ENERGY ENGINEERING COR,BP2DDJ1,"9,635","4,854",0.00%
CHINA GALAXY SECURITIES CO-A,BYWPH65,"2,476","8,296",0.00%
CHINA INTERNATIONAL CAPITA-H,BZ169C6,"167,239","445,783",0.04%
CHINA INTERNATIONAL CAPTAL-A,BMYPCF3,"6,233","46,198",0.00%
CHINA INTL MARINE CONTAIN-A,CNE000000644 (ISIN),"30,733","52,535",0.00%
CHINA MEDIAEXPRESS HOLDINGS COM STK USD0,B297ZZ5,587,19,0.00%
CHINA MENGNIU DAIRY CO,B01B1L9,"108,864","397,473",0.04%
CHINA MERCHANTS BANK - H,B1DYPZ5,"47,920","398,545",0.04%
CHINA MERCHANTS BANK-A,BP3R273,"51,508","445,336",0.04%
CHINA MERCHANTS EXPRESSWAY-A,BFY8GC8,"22,407","68,767",0.01%
CHINA MERCHANTS SECURITIES-A,BP3R303,"10,067","42,433",0.00%
CHINA METAL RECYCLING,B54DPL5,"22,018",0,0.00%
CHINA MOLYBDENUM CO LTD-A,BP3R574,"28,807","42,145",0.00%
CHINA PACIFIC INSURANCE GR-A,BP3R2K6,"9,619","72,121",0.01%
CHINA PETROLEUM & CHEMICAL-A,BP3R240,"1,327","1,950",0.00%
CHINA PETROLEUM ENGINEERIN-A,BDC41N0,"3,120","2,457",0.00%
CHINA RAILWAY SIGNAL & COM-A,BK71F88,"12,708","17,502",0.00%
CHINA RESOURCES SANJIU MED-A,BD5CL42,"3,232","31,525",0.00%
CHINA SOUTH PUBLISHING -A,BP3R507,"52,348","172,862",0.02%
CHINA UNITED NETWORK-A,BP3R2X9,"35,309","41,247",0.00%
CHINA VANKE CO LTD -A,BD5CPW8,"9,504","15,180",0.00%
CHINA XD ELECTRIC CO LTD-A,BP3R671,"9,483","15,834",0.00%
CHINA YANGTZE POWER CO LTD-A,BP3R2M8,"4,600","29,903",0.00%
CHIPOTLE MEXICAN GRILL-CL A CLASS 'A' CO,B0X7DZ3,309,"30,056",0.00%
CHOCOLADEFABRIKEN LINDT-REG,5962309,0,"2,151",0.00%
CHONGOING SOKON INDUSTRY G-A,BYV1VC8,"1,479","43,390",0.00%
CHORUS LTD NPV,B54F6S5,"227,546","1,806,719",0.17%
CHUBB LTD,B3BQMF6,94,"41,928",0.00%
CHUBU ELECTRIC POWER CO INC,6195609,142,"2,421",0.00%
CHUGAI PHARMACEUTICAL CO LTD,6196408,"11,136","800,979",0.08%
CHURCH & DWIGHT CO INC USD1,2195841,48,"8,188",0.00%
CIA SANEAMENTO BASICO DE SP COM NPV,B1YCHL8,"14,784","342,056",0.03%
CIA VALE DO RIO DOCE-ADR,2857334,"17,925","256,799",0.02%
CIE FINANCIERE RICHEMON-REG,BCRWZ18,"2,508","616,292",0.06%
CIENA CORP COM STK USD0.01,B1FLZ21,"2,217","303,738",0.03%
CIGNA CORP,BHJ0775,66,"29,646",0.00%
CIMB GROUP HOLDINGS BERHAD,6075745,"102,199","302,701",0.03%
CINCINNATI FINL CORP COM,2196888,37,"8,631",0.00%
CINTAS CORP COM,2197137,83,"24,548",0.00%
CIPLA LIMITED,B011108,"13,021","375,579",0.04%
CISCO SYS INC COM,2198163,909,"86,908",0.01%
CITIC SECURITIES CO-A SHARES,BP3R2J5,"17,686","113,500",0.01%
CITIGROUP INC COM,2297907,"14,287","1,624,225",0.15%
CITIZENS FINANCIAL GROUP CFG,BQRX1X3,"2,055","145,211",0.01%
CIVMEC LTD/CDI,BFZL8R5,"24,244","31,032",0.00%
CK ASSET HOLDINGS LTD,BYZQ077,387,"2,568",0.00%
CK HUTCHISON HOLDINGS LTD,BW9P816,"14,600","125,982",0.01%
CK INFRASTRUCTURE HOLDINGS LTD,BYVS6J1,197,"2,368",0.00%
CLARIANT AG-REG,7113990,-62,"-1,108",0.00%
CLARITY PHARMACEUTICALS LTD,BMCHJF0,"26,036","108,570",0.01%
CLEAN HARBORS INC COM STK USD0.01,2202473,"1,560","580,025",0.05%
CLEANAWAY WASTE MANAGEMENT LTD,BYQ8KW7,"1,441,193","3,819,160",0.36%
CLINUVEL PHARMACEUTICALS LTD NPV,6328405,"4,053","48,883",0.00%
CLOROX CO DEL COM,2204026,26,"6,761",0.00%
CLOSE THE LOOP LTD,BP8YQ55,"98,928","23,248",0.00%
CLOUDFLARE INC - CLASS A NET,BJXC5M2,"9,418","1,637,873",0.16%
CLP HOLDINGS LTD,6097017,404,"5,484",0.00%
CME GROUP INC,2965839,"2,063","773,961",0.07%
CMS ENERGY CORP COM USD0.01,2219224,76,"8,219",0.00%
CNGR ADVANCED MATERIAL CO -A,BP91MT1,522,"4,152",0.00%
CNH INDUSTRIAL NV COM EUR0.01,BDX85Z1,443,"8,107",0.00%
CNO FINANCIAL GROUP INC,2657750,"4,626","278,004",0.03%
COCA COLA CO COM,2206657,926,"93,066",0.01%
Coca-Cola Europacific Partne,BYQQ3P5,42,"5,250",0.00%
COCA-COLA HBC AG-CDI COCA-COLA HBC AG-CD,B9895B7,67,"3,705",0.00%
COCHLEAR LIMITED,6211798,"7,333","2,125,646",0.20%
CODAN LTD NPV,6712611,58,930,0.00%
COFACE SA COFA,BNFWV75,"3,032","72,912",0.01%
COGNEX CORP COM USD0.002,2208288,"2,115","122,515",0.01%
COGNIZANT TECHNOLOGY S CL A,2257019,"2,991","371,443",0.04%
COINBASE GLOBAL INC -CLASS A,BMC9P69,39,"15,640",0.00%
COLES GROUP LTD,BYWR0T5,"134,049","2,532,189",0.24%
COLGATE-PALMOLIVE CO,2209106,183,"26,918",0.00%
COLLINS FOODS LTD NPV,B6QCFP1,"42,791","310,665",0.03%
COLOPLAST-B,B8FMRX8,"1,915","337,610",0.03%
COMCAST CORP-CLASS A,2044545,935,"56,676",0.01%
COMMERZBANK AG,B90LKT4,281,"7,377",0.00%
COMMONWEALTH BANK OF AUSTRAL,6215035,"113,937","17,460,891",1.66%
COMPAGNIE DE SAINT-GOBAIN,7380482,102,"14,564",0.00%
COMPASS GROUP PLC,BD6K457,"18,184","979,113",0.09%
COMPUGROUP MEDICAL SE & CO K,BMY7CH1,"10,148","369,318",0.04%
COMPUTERSHARE LTD NPV,6180412,"75,704","2,570,146",0.24%
CONAGRA BRANDS INC,2215460,111,"4,955",0.00%
CONCORDIA FINANCIAL GROUP LTD,BD97JW7,152,"1,357",0.00%
CONOCOPHILLIPS COM,2685717,"10,870","1,741,087",0.17%
CONSOLIDATED EDISON INC COM,2216850,74,"10,687",0.00%
CONSORCIO ARA S.A.B.-SER * SER'UNICA'NPV,B1TV969,"12,832","3,190",0.00%
CONSTELLATION BRANDS INC-A,2170473,37,"13,306",0.00%
CONSTELLATION ENERGY-W/I,BMH4FS1,"1,290","465,969",0.04%
CONSTELLATION SOFTWARE IN-28,BR52TP7,4,0,0.00%
CONSTELLATION SOFTWARE INC COM STK NPV,B15C4L6,5,"24,822",0.00%
CONTEMPORARY AMPEREX TECHN-A,BHQPSY7,"31,257","1,829,161",0.17%
CONTINENTAL AG,4598589,15,"1,635",0.00%
CONVATEC GROUP PLC-WI CTEC,BD3VFW7,"94,037","420,755",0.04%
COOPER COS INC/THE,BQPDXR3,"2,204","327,245",0.03%
COPA HOLDINGS SA-CLASS A NPV CLASS 'A',B0TNJH9,465,"65,974",0.01%
COPART INC COM NPV,2208073,"3,668","339,967",0.03%
CORBION N.V.,BFRSRR7,"7,884","284,806",0.03%
CORE & MAIN INC-CLASS A,BNXKS92,"6,262","514,914",0.05%
COREBRIDGE FINANCIAL INC,BMTX0G9,9,415,0.00%
CORNING INC COM,2224701,"6,782","520,519",0.05%
CORONADO GLOBAL RESOURCE-CDI,BGV71W0,"75,900","58,063",0.01%
CORP INMOBILIARIA VESTA SAB COM NPV,B8F6ZF8,"133,182","550,470",0.05%
CORPAY INC,BMX5GK7,14,"7,842",0.00%
CORPORATE TRAVEL MANAGEMENT NPV,B3R1D52,"38,040","504,031",0.05%
CORTEVA INC-W/I,BK73B42,758,"69,719",0.01%
COSAN SA INDUSTRIA COMERCIO COM NPV,B0P72G5,"33,709","71,912",0.01%
COSCO SHIPPING CO LTD-A,BP3RGR1,"5,556","8,923",0.00%
COSMO ENERGY HOLDINGS CO LTD 5021,BYSJJ43,"3,794","270,190",0.03%
COSMOS PHARMACEUTICAL CORP NPV,B036QP1,"1,169","80,463",0.01%
COSTAR GROUP INC USD0.01,2262864,80,"9,294",0.00%
COSTCO WHSL CORP NEW COM,2701271,629,"930,715",0.09%
COTERRA ENERGY INC,2162340,163,"6,720",0.00%
COUPANG INC,BNYHDF3,"43,832","1,556,049",0.15%
COVESTRO AG-W/I 1COV,BYTBWY9,68,"6,401",0.00%
COVIVIO,7745638,7,612,0.00%
CP ALL PCL-FOREIGN,B08YDF9,"83,338","220,091",0.02%
CRANSWICK PLC ORD GBP0.10,231888,839,"82,516",0.01%
CREDICORP LTD COM USD5,2232878,"1,880","556,661",0.05%
CREDIT AGRICOLE SA,7262610,273,"6,067",0.00%
CREDIT CORP GROUP LIMITED NPV,6287658,"10,801","172,702",0.02%
CRESUD S.A.-SPONS ADR,2226893,"3,977","81,131",0.01%
CRH PLC,B01ZKD6,677,"101,207",0.01%
CRODA INTERNATIONAL PLC,BJFFLV0,"6,780","464,205",0.04%
CROMWELL PROPERTY GROUP,6225476,"245,217","93,183",0.01%
CROWDSTRIKE HOLDINGS INC - A CRWD,BJJP138,50,"27,376",0.00%
CROWN CASTLE INTL CORP COM,BTGQCX1,95,"13,985",0.00%
CROWN HOLDINGS INC COM,2427986,21,"2,774",0.00%
CRRC CORP LTD,BP3R358,"20,694","38,152",0.00%
CSL LTD,6185495,"56,221","15,830,671",1.50%
CSX CORP COM,2160753,445,"23,188",0.00%
CT HOLDINGS PLC CTHR,6185202,"40,416","73,465",0.01%
CTS EVENTIM AG & CO KGAA,5881857,41,"5,605",0.00%
CUMMINS INC COM,2240202,31,"17,716",0.00%
CUSHMAN & WAKEFIELD PLC CWK,BFZ4N46,"1,581","33,390",0.00%
CVC CAPITAL PARTNERS PLC,BRX9808,-58,"-2,058",0.00%
CVS HEALTH CORP CVS,2577609,277,"20,091",0.00%
CYBERAGENT INC NPV,6220501,"4,669","52,594",0.00%
CYBER-ARK SOFTWARE LTD/ISRAE CYBR,BQT3XY6,11,"6,169",0.00%
CYPRIUM METALS LTD,BJDX9R8,"781,778","17,981",0.00%
CYPRIUM METALS LTD-RIGHTS03FEB2025,AU0000050536 (ISIN),"48,861",0,0.00%
D R HORTON INC COM,2250687,76,"17,228",0.00%
DAI NIPPON PRINTING CO LTD,6250906,"13,806","314,898",0.03%
DAIFUKU CO LTD,6250025,67,"2,276",0.00%
DAI-ICHI LIFE HOLDINGS INC,B601QS4,229,"9,961",0.00%
DAIICHI SANKYO CO LTD,B0J7D91,404,"18,061",0.00%
DAIMLER TRUCK HOLDING AG,BP6VLQ4,115,"7,076",0.00%
DAITO TRUST CONSTRUCT CO LTD,6250508,11,"2,013",0.00%
DAIWA HOUSE INDUSTRY CO LTD,6251363,141,"7,053",0.00%
DAIWA SECS GROUP INC,6251448,"11,942","128,623",0.01%
DALRYMPLE BAY,BNM6Z56,"6,224","22,407",0.00%
DANAHER CORP DEL COM,2250870,165,"61,197",0.01%
DANONE,B1Y9TB3,128,"13,886",0.00%
DANSKE BK A/S BEARER SHS,4588825,230,"10,492",0.00%
DARDEN RESTAURANTS INC COM,2289874,32,"9,595",0.00%
DASSAULT AVIATION SA,BMT9L19,8,"2,762",0.00%
DASSAULT SYSTEMES SE,BM8H5Y5,165,"9,243",0.00%
DATA#3 LIMITED NPV,6093015,514,"3,282",0.00%
DATADOG INC - CLASS A DDOG,BKT9Y49,"3,314","764,862",0.07%
DAVIDE CAMPARI-MILANO NV,BMQ5W17,"19,323","194,484",0.02%
DAVITA INC,2898087,23,"5,620",0.00%
DAYFORCE INC,BFX1V56,29,"3,409",0.00%
DBAPPSECURITY LTD-A,BMF7P37,"2,878","25,830",0.00%
DBS GROUP HOLDINGS LTD,6175203,417,"21,561",0.00%
DCC PLC ORD,242493,28,"2,875",0.00%
DE GREY MINING LTD DEG,6534837,"275,913","486,986",0.05%
DECKERS OUTDOOR CORP COM USD0.01,2267278,28,"9,189",0.00%
DEEP YELLOW LTD NPV,6480275,"609,076","685,210",0.06%
DEERE & CO COM,2261203,916,"626,707",0.06%
DELIVERY HERO AG,BZCNB42,35,"1,592",0.00%
DELL TECHNOLOGIES -C W/I,BHKD3S6,66,"12,303",0.00%
DELTA AIR LINES INC COM USD0.0001,B1W9D46,"2,378","232,404",0.02%
DELTA ELECTRONICS INC,6260734,"26,402","559,940",0.05%
DEMANT A/S,BZ01RF1,15,915,0.00%
DENSO CORP ORD,6640381,387,"8,814",0.00%
DENTSU GROUP INC,6416281,45,"1,778",0.00%
DESCARTES SYSTEMS GRP/THE COM NPV,2141941,37,"6,816",0.00%
DETERRA ROYALTIES LTD,BJP5T05,"5,069","18,855",0.00%
DEUTSCHE BANK AG NAMEN ORD,5750355,437,"12,151",0.00%
DEUTSCHE BOERSE AG,7021963,"1,417","527,037",0.05%
DEUTSCHE TELEKOM NPV(REGD),5842359,749,"36,182",0.00%
DEUTZ AG NPV,4557847,"6,935","46,836",0.00%
DEVELOP GLOBAL LTD,BNVQGB0,"91,858","214,947",0.02%
DEVON ENERGY CORP NEW COM,2480677,158,"8,339",0.00%
DEXCO SA,BN7F4X9,"139,684","217,650",0.02%
DEXCOM INC COM USD0.001,B0796X4,"6,354","798,084",0.08%
DEXUS,B033YN6,"255,063","1,698,717",0.16%
DEXUS INDUSTRIA REIT,BP2RQ94,"55,668","143,066",0.01%
DHL GROUP,4617859,191,"10,870",0.00%
DHT HOLDINGS INC DHT,B7JB336,"23,550","353,359",0.03%
DIAGEO PLC,237400,"13,319","683,637",0.06%
DIALOG AXIATA PLC DIAL,B0DJQ38,"2,508,001","161,754",0.02%
DIAMONDBACK ENERGY INC,B7Y8YR3,"1,219","322,668",0.03%
DIANA SHIPPING INC COM STK USD0.01,B06FL27,"13,060","41,343",0.00%
DIANA SHIPPING INC-28,BQ72J03,"2,591",465,0.00%
DIASORIN SPA EUR1,B234WN9,-1,-156,0.00%
DICK'S SPORTING GOODS INC COM USD0.01,2969637,16,"5,737",0.00%
DIGICO INFRASTRUCTURE REIT,AU0000367088 (ISIN),"3,211","14,288",0.00%
DIGITAL REALTY TRUST INC COM STK USD0.01,B03GQS4,72,"20,656",0.00%
DINO POLSKA SA DNP,BD0YVN2,"5,198","792,246",0.08%
DISCO CORP JPY50,6270948,18,"7,978",0.00%
DISCOVER FINANCIAL-W/I COM STK USD0.01,B1YLC43,61,"17,072",0.00%
DISCOVERY LTD,6177878,"4,611","76,861",0.01%
DISNEY WALT CO COM DISNEY,2270726,"1,111","199,840",0.02%
D-MARKET ELECTRONIC SERV-ADR,BLD30P7,"27,925","136,658",0.01%
DMCI HOLDINGS INC PHP1,6272483,"47,508","14,353",0.00%
DMG MORI CO LTD,6602563,"3,308","86,453",0.01%
DNB BANK ASA,BNG7113,290,"9,374",0.00%
DOCUSIGN INC DOCU,BFYT7B7,43,"6,213",0.00%
DOLLAR GENERAL CORP COM USD0.875,B5B1S13,"3,992","488,854",0.05%
DOLLAR TREE INC,2272476,47,"5,698",0.00%
DOLLARAMA INC COM NPV,B4TP9G2,64,"10,041",0.00%
DOMINION ENERGY INC,2542049,183,"15,887",0.00%
DOMINO'S PIZZA ENTERPRISES L,B07SFG7,"12,293","361,914",0.03%
DOMINOS PIZZA INC COM USD0.01,B01SD70,7,"4,559",0.00%
DONG-E E-JIAO-A,BD5CM61,"5,549","76,571",0.01%
DOORDASH INC - A,BN13P03,73,"19,668",0.00%
DOVER CORP COM,2278407,35,"10,462",0.00%
DOW INC-W/I,BHXCF84,155,"10,078",0.00%
DOWLAIS GROUP PLC,GB00BMWRZ071,"9,013","12,297",0.00%
DOWNER EDI LTD,6465573,"727,823","3,821,070",0.36%
DR ING HC F PORSCHE AG,BJN59B8,22,"2,150",0.00%
DRAFTKINGS INC-CL A,BLDDH12,95,"5,679",0.00%
DROPSUITE LTD,BYV57V1,"38,606","179,134",0.02%
DSM-FIRMENICH AG,CH1216478797,45,"7,275",0.00%
DSV A/S,B1WT5G2,"1,627","557,896",0.05%
DTE ENERGY CO COM,2280220,47,"9,238",0.00%
DUKE ENERGY CORP COM,B7VD3F2,167,"29,001",0.00%
DUPONT DE NEMOURS INC,BK0VN47,108,"13,340",0.00%
DYNATRACE INC DT,BJV2RD9,52,"4,543",0.00%
E.ON SE,4942904,507,"9,531",0.00%
EAGERS AUTOMOTIVE LTD,6296201,"51,181","605,977",0.06%
EAST JAPAN RAILWAY CO,6298542,202,"5,810",0.00%
EAST MONEY INFORMATION CO-A,BD5CPC8,"7,796","44,284",0.00%
EASTMAN CHEM CO COM,2298386,22,"3,234",0.00%
EASTROC BEVERAGE GROUP CO -A,BP91NL0,"6,064","331,535",0.03%
EBAY INC COM,2293819,107,"10,706",0.00%
EBOS GROUP LTD EBO,BH36SD2,"6,478","220,197",0.02%
ECOLAB INC COM,2304227,56,"21,023",0.00%
EDENRED EUR2,B62G1B5,51,"2,702",0.00%
EDISON INTL COM,2829515,74,"9,479",0.00%
EDP RENOVAVEIS SA EUR5,B39GNW2,107,"1,792",0.00%
EDWARDS LIFESCIENCES C COM,2567116,"11,345","1,356,522",0.13%
EIFFAGE,B13X013,9,"1,250",0.00%
EISAI CO LTD,6307200,71,"3,167",0.00%
ELDERS LTD,6357852,"61,926","443,388",0.04%
ELECTRICIDADE DE PORTUGAL SA,4103596,318,"1,644",0.00%
ELECTRONIC ARTS INC COM,2310194,"6,372","1,505,761",0.14%
ELEMENT FINANCIAL CORP ELEMENT FINANCIAL,B7FNMQ2,78,"2,555",0.00%
ELEVANCE HEALTH INC,BSPHGL4,545,"324,982",0.03%
ELF BEAUTY INC ELF,BDDQ975,"4,212","854,044",0.08%
ELI LILLY & CO,2516152,"1,729","2,155,403",0.20%
ELIA GROUP SA/NV,B09M9F4,0,-28,0.00%
ELISA CORP SHS,5701513,7,487,0.00%
EMAAR PROPERTIES PJSC,B01RM25,"77,092","435,599",0.04%
EMCOR GROUP INC COM,2474164,7,"5,487",0.00%
EMECO HOLDINGS LTD NPV,B1978V5,"306,077","280,061",0.03%
EMERA INC COM NPV,2650050,40,"2,402",0.00%
EMERALD RESOURCES NL,6107381,-126,-410,0.00%
EMERSON ELEC CO COM,2313405,127,"25,356",0.00%
EMPIRE CO LTD 'A' CLASS'A'N/VTG COM NPV,2314000,24,"1,177",0.00%
EMPRESA BRAS DE AERONAUTICA COM NPV,B16FPG6,"20,476","300,802",0.03%
EMS-CHEMIE HOLDING AG CHF0.01(REGD)(POST,7635610,1,800,0.00%
EN JAPAN INC,6352750,"11,818","257,600",0.02%
EN+ GROUP INTERNATIONAL PJSC,BJ9NFD0,"2,636",0,0.00%
ENBRIDGE INC,2466149,428,"29,352",0.00%
ENCOMPASS HEALTH CORP,BYX2YJ7,"1,754","261,634",0.02%
ENDAVA PLC- SPON ADR DAVA,BZ0WK66,"10,284","513,252",0.05%
ENDEAVOUR GROUP LTD/AUSTRALI,BNVS144,"190,729","801,061",0.08%
ENDEAVOUR MINING PLC,BL6K5J4,55,"1,580",0.00%
ENDESA SA,5271782,95,"3,301",0.00%
ENEL,7144569,"1,675","19,296",0.00%
ENEOS HOLDINGS INC,B627LW9,437,"3,711",0.00%
ENGIE,B0C2CQ3,461,"11,809",0.00%
ENHABIT INC-W/I,BQFMQ93,"19,782","249,532",0.02%
ENI SPA,7145056,608,"13,307",0.00%
ENPHASE ENERGY INC ENPH,B65SQW4,"4,412","489,370",0.05%
ENPRO INC,2951292,329,"91,556",0.01%
ENTAIN PLC,B5VQMV6,141,"1,963",0.00%
ENTEGRIS INC COM,2599700,36,"5,837",0.00%
ENTERGY CORP NEW COM,2317087,73,"8,991",0.00%
ENVIRONMENTAL GROUP LTD/THE,6206653,"119,373","37,602",0.00%
ENVISTA HOLDINGS CORP,BK63SF3,"18,433","574,284",0.05%
EOG RES INC COM,2318024,128,"25,290",0.00%
EOPTOLINK TECHNOLOGY INC L-A,BD761B9,529,"13,441",0.00%
EPAM SYSTEMS INC EPAM SYSTEMS INC,B44Z3T8,436,"164,654",0.02%
EPIROC AB-A,BMD58R8,67,"1,880",0.00%
EPIROC AB-B,BMD58W3,157,"3,951",0.00%
EQT AB,BJ7W9K4,49,"2,183",0.00%
EQT CORP,2319414,134,"9,994",0.00%
EQT HOLDINGS LTD,BD5WNY6,"7,346","235,085",0.02%
EQUIFAX INC COM,2319146,25,"10,258",0.00%
EQUINIX INC COM NPV,BVLZX12,22,"34,232",0.00%
EQUINOR ASA,7133608,216,"8,147",0.00%
EQUITABLE HOLDINGS INC,BKRMR96,71,"5,445",0.00%
EQUITY LIFESTYLE PROPERTIES COM USD0.01,2563125,47,"5,053",0.00%
EQUITY RESIDENTIAL SBI USD0.01,2319157,76,"8,860",0.00%
ERICSSON LM-B SHS,5959378,753,"9,896",0.00%
ERIE INDEMNITY COMPANY-CL A CLASS'A' COM,2311711,8,"5,262",0.00%
ERSTE GROUP BANK AG,5289837,"5,926","591,266",0.06%
ESSENTIAL UTILITIES INC,BLCF3J9,103,"6,067",0.00%
ESSENTRA PLC,B074435,"76,662","206,243",0.02%
ESSEX PROPERTY TRUST INC COM USD0.0001,2316619,17,"7,933",0.00%
ESSILORLUXOTTICA,7212477,60,"23,514",0.00%
ESSITY AKTIEBOLAG-B,BF1K7P7,121,"5,220",0.00%
EURAZEO SE,7042395,2,286,0.00%
EUROFINS SCIENTIFIC,BNDPYV1,29,"2,402",0.00%
EURONEXT NV ENX,BNBNSG0,"6,714","1,216,035",0.12%
EVEREST GROUP LTD,2556868,7,"4,143",0.00%
EVERGY INC,BFMXGR0,46,"4,586",0.00%
EVERSOURCE ENERGY,BVVN4Q8,80,"7,448",0.00%
EVOLUTION AB,BJXSCH4,34,"4,261",0.00%
