Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ADRIATIC METALS PLC-CDI,BD215T5,-4,-16,0.00%
ADVANCED DRAINAGE SYSTEMS IN WMS,BP7RS59,"2,274","424,566",0.02%
ADVANCED INFO SERVICE-FOR RG,6412591,"7,906","107,487",0.01%
ADVANCED MICRO DEVICES COM,2007849,"4,911","958,147",0.05%
ADVANCED MICRO-FABRICATION-A,BK71F66,553,"22,993",0.00%
ADVANTEST CORP ORD,6870490,151,"14,269",0.00%
ADYEN NV ADYEN,BZ1HM42,825,"1,982,063",0.10%
AEGON LTD,BPH0Y27,825,"7,894",0.00%
AENA SME SA,BVRZ8L1,18,"6,015",0.00%
AEON CO LTD,6480048,152,"5,776",0.00%
AERCAP HOLDINGS NV EUR0.01,B1HHKD3,44,"6,731",0.00%
AEROFLOT-RUSSIAN AIRLINES RUB1(USD),B58X588,"11,676",0,0.00%
AES CORP COM,2002479,180,"3,740",0.00%
AET AND D HOLDINGS,583032S (Sedol),847,0,0.00%
AFK SISTEMA-REG S SPONS GDR,B05N809,"1,098",0,0.00%
AFLAC INC,2026361,119,"19,890",0.00%
AGC INC,6055208,59,"2,807",0.00%
AGEAS,B86S2N0,2,126,0.00%
AGILENT TECHNOLOGIES I COM,2520153,61,"13,310",0.00%
AGL ENERGY LTD,BSS7GP5,"70,283","793,493",0.04%
AGNICO EAGLE MINES LTD,2009823,127,"16,044",0.00%
AIA GROUP LTD USD1.00,B4TX8S1,"67,516","790,337",0.04%
AIB GROUP PLC,BF0L353,"7,000","62,397",0.00%
AICHI FINANCIAL GROUP INC,BP29PF9,"4,772","123,234",0.01%
AINSWORTH GAME TECHNOLOGY LT NPV,6427829,"45,186","39,086",0.00%
AIR CANADA AC,BSDHYK1,25,632,0.00%
AIR LIQUIDE SA,B1YXBJ7,105,"27,588",0.00%
AIR NEW ZEALAND LTD NPV,6426569,"189,570","103,316",0.01%
AIR PRODS & CHEMS INC COM,2011602,42,"19,815",0.00%
AIRBNB INC,BMGYYH4,89,"18,877",0.00%
AISIN CORP,6010702,55,999,0.00%
AITKEN SPENCE PLC SPEN,6009391,"204,109","163,144",0.01%
AJINOMOTO INC COM,6010906,79,"5,209",0.00%
AK TRANSNEFT PJSC,B59NHY7,261,0,0.00%
AKAMAI TECHNOLOGIES COM STK USD0.01,2507457,26,"4,071",0.00%
AKER BP ASA,B1L95G3,44,"1,384",0.00%
AKZO NOBEL,BJ2KSG2,34,"3,282",0.00%
