Hostplus Superannuation Fund,,,,
HC Conservative Balanced - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Conservative Balanced - Class A Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
BLOCK INC - CDI,BMHJ8W1,"33,533","4,727,420",0.23%
BLUESCOPE STEEL LTD,6533232,"91,624","1,712,448",0.08%
BMW,5756029,73,"9,661",0.00%
BNP PARIBAS S.A.,7309681,207,"20,512",0.00%
BOC HONG KONG HOLDINGS LTD,6536112,939,"4,873",0.00%
BOE TECHNOLOGY GROUP CO LT-A,BD5CPL7,"129,844","125,403",0.01%
BOLIDEN AB,BPYTZ57,63,"2,860",0.00%
BOLLORE SE,4572709,52,521,0.00%
BOMBARDIER INC-B,BN33PL2,"1,297","142,350",0.01%
BOOHOO.COM PLC BOO,BG6L729,"84,917","57,817",0.00%
BOOKING HOLDINGS INC,BDRXDB4,449,"3,604,315",0.18%
BOSS RESOURCES LTD BOE,B1XLCQ6,"58,618","142,442",0.01%
BOSTON SCIENTIFIC CORP COM,2113434,325,"46,863",0.00%
BOUYGUES SA,4002121,48,"2,303",0.00%
BP PLC SHS,798059,"8,537","67,867",0.00%
BRAMBLES LTD NPV,B1FJ0C0,"196,810","3,786,621",0.18%
BRENNTAG SE,B4YVF56,127,"12,328",0.00%
BREVILLE GROUP LTD,6158709,"42,286","1,496,094",0.07%
BRICKWORKS LIMITED,6315593,-17,-437,0.00%
BRIDGESTONE CORP COM,6132101,88,"4,804",0.00%
BRISTOL MYERS SQUIBB C COM,2126335,414,"37,845",0.00%
BRITISH AMERICAN TOBAC ORD,287580,"4,946","288,106",0.01%
BROADCOM INC,BDZ78H9,"3,946","1,477,537",0.07%
BROADRIDGE FINANCIAL SOL-W/I COM STK USD,B1VP7R6,"1,252","457,047",0.02%
BROTHER INDUSTRIES LTD,6146500,8,223,0.00%
BROWN & BROWN INC COM,2692687,51,"8,393",0.00%
BROWN-FORMAN CORP -CL B CL B,2146838,69,"4,259",0.00%
BT GROUP PLC,3091357,"1,692","4,930",0.00%
BUILDERS FIRSTSOURCE INC COM USD0.01,B0BV2M7,24,"5,432",0.00%
BUKIT DARAH PLC,6151667,"3,744","12,254",0.00%
BUNGE GLOBAL SA,BQ6BPG9,25,"3,147",0.00%
BUNZL PLC BUNZL PLC,B0744B3,"5,772","384,798",0.02%
BUREAU VERITAS SA EUR0.12,B28DTJ6,30,"1,454",0.00%
BURLINGTON STORES INC BURL,BF311Y5,15,"6,799",0.00%
BWP TRUST,6127453,"15,567","51,061",0.00%
BXP INC,2019479,20,"2,460",0.00%
BYD CO LTD -A,BD5CQ69,"3,287","204,411",0.01%
BYD CO LTD-H,6536651,"2,931","162,452",0.01%
C.H. ROBINSON WORLDWIDE INC COM USD0.1,2116228,21,"3,488",0.00%
CADENCE DESIGN SYSTEM COM,2302232,676,"328,181",0.02%
CAESARS ENTERTAINMENT INC,BMWWGB0,814,"43,911",0.00%
CAITONG SECURITIES CO LTD-A,BFY9KS5,"5,917","10,635",0.00%
CAIXIABANK,B283W97,"5,886","51,542",0.00%
CAMDEN PROPERTY TRUST SBI USD0.01,2166320,29,"5,427",0.00%
CAN APARTMENT PROP REAL ESTA,2117599,18,876,0.00%
CANADIAN NAT RES LTD COM,2171573,"7,473","372,426",0.02%
CANADIAN NATL RY CO COM,2180632,111,"18,271",0.00%
CANADIAN PACIFIC KANSAS CITY,CA13645T1003,182,"21,327",0.00%
CANADIAN TIRE CORP-CLASS A,2172286,7,"1,139",0.00%
CANADIAN UTILITIES LTD A CLASS'A'COM NON,2172639,25,962,0.00%
CANON INC ORD,6172323,221,"11,713",0.00%
CANSINO BIOLOGICS INC-A,BMD9JD3,182,"2,447",0.00%
CAPCOM CO LTD,6173694,84,"3,006",0.00%
CAPGEMINI SE,4163437,36,"9,482",0.00%
CAPITAL ONE FINANCIAL CORP,2654461,"1,791","515,793",0.03%
CAPITALAND INTEGRATED COMMER,6420129,"2,451","5,600",0.00%
CAPITALAND INVESTMENT LTD/SI,BNHXFJ6,884,"2,741",0.00%
CAPITEC BANK HOLDINGS LTD ZAR0.01,6440859,"2,374","636,921",0.03%
CAPLAND ASCENDAS REIT,6563875,865,"2,632",0.00%
CAPRAL LIMITED,6013972,"10,566","105,129",0.01%
CAPRICORN METALS LTD,BDD98W2,"174,607","1,096,533",0.05%
CAPSTONE COPPER CORP,BMY5XY9,"2,724","27,191",0.00%
CAPSTONE COPPER CORP-CDI,BQXH1K6,"32,503","318,856",0.02%
CARAVEL MINERALS LTD,B90KY77,"284,584","54,071",0.00%
CARAVEL MINERALS LTD-CW25,BNSP5H9,"11,151",201,0.00%
CARDINAL HEALTH INC COM,2175672,50,"9,640",0.00%
CARL ZEISS MEDITEC AG NPV,5922961,12,904,0.00%
CARLISLE COS INC COM USD1,2176318,12,"7,194",0.00%
CARLSBERG AS-B,4169219,22,"3,434",0.00%
CARLYLE GROUP INC/THE,BKRTG56,48,"3,895",0.00%
CARMAX INC COM,2983563,26,"3,450",0.00%
CARNIVAL CORP COM,2523044,210,"8,434",0.00%
CARREFOUR SA,5641567,"1,030","23,642",0.00%
CARRIER GLOBAL CORP-W/I,BK4N0D7,175,"19,318",0.00%
CARSALES.COM.AU LTD NPV,BW0BGZ3,"47,225","1,701,511",0.08%
CARVANA CO CVNA,BYQHPG3,818,"268,809",0.01%
CATERPILLAR INC DEL COM,2180201,101,"59,412",0.00%
CBOE GLOBAL MARKETS INC,B5834C5,26,"8,234",0.00%
CBRE GROUP INC,B6WVMH3,"3,406","722,333",0.04%
CCL INDUSTRIES INC - CL B 'B'NON-VTG COM,2159795,17,"1,453",0.00%
CDN IMPERIAL BK OF COM COM,2170525,149,"15,198",0.00%
CDW CORP/DE COM USD0.01,BBM5MD6,"2,099","589,907",0.03%
CELANESE CORP-SERIES A COM SERIES 'A' US,B05MZT4,15,"1,642",0.00%
CELLNEX TELECOM SAU CLNX,BX90C05,106,"5,414",0.00%
CELSIUS HOLDINGS INC,B19HX21,"2,368","100,734",0.00%
CEMEX SA -SPONS ADR PART CER,2488671,"30,915","281,610",0.01%
CENCORA INC,2795393,"1,286","466,687",0.02%
CENERGY HOLDINGS SA,BE0974303357 (ISIN),"3,268","51,105",0.00%
CENOVUS ENERGY INC COM NPV,B57FG04,313,"7,648",0.00%
CENTENE CORP COM USD0.001,2807061,504,"49,286",0.00%
CENTERPOINT ENERGY INC COM,2440637,135,"6,908",0.00%
CENTRAL GLASS CO LTD CENTRAL GLASS CO LT,6184306,"2,371","80,902",0.00%
CENTRAL JAPAN RAILWAY CO,6183552,124,"3,780",0.00%
CENTRICA PLC,B033F22,"30,420","82,208",0.00%
Centuria Capital Group,6518745,"80,554","142,984",0.01%
CENTURIA INDUSTRIAL REIT,BD31FD8,"81,592","230,090",0.01%
CENTURIA OFFICE REIT,BKTW448,"79,018","86,920",0.00%
CETTIRE LTD,BN7J464,"75,146","113,471",0.01%
CEYLON GUARDIAN INVESTMENT GUAR,6183080,"15,932","13,833",0.00%
CF INDUSTRIES HOLDINGS INC COM USD0.01,B0G4K50,38,"5,236",0.00%
CGI INC GIB/A,BJ2L575,"2,544","449,300",0.02%
CHALICE MINING LTD,B0ZGW28,"120,608","133,272",0.01%
CHALLENGER LTD,6726300,"18,146","109,058",0.01%
CHAMPION IRON LTD,BLD3778,"12,644","73,556",0.00%
CHAMPION IRON LTD CIA,BLD1SB3,"58,411","335,864",0.02%
CHAMPIONX CORP-W/I,BMW7N69,"8,169","358,757",0.02%
CHANGCHUN HIGH & NEW TECH-A,BD5CDB3,358,"7,839",0.00%
CHANGSHA ZOOMLION HEAVY INDS,BD5CPZ1,"43,692","69,496",0.00%
CHARLES RIVER LABORATORIES COM,2604336,9,"2,718",0.00%
CHARTER COMMUNICATIONS INC,BZ6VT82,19,"10,677",0.00%
CHARTER HALL GROUP NPV (STAPLED),B15F6S6,"130,718","1,875,799",0.09%
CHARTER HALL LONG WALE REIT CLW,BDB46J2,"35,558","132,986",0.01%
CHARTER HALL RETAIL REIT,6225595,"108,525","341,855",0.02%
CHARTER HALL SOCIAL INFRASTR,BHJVMY0,326,837,0.00%
CHECK POINT SOFTWARE T ORD,2181334,"4,862","1,466,210",0.07%
CHENGDU M&S ELECTRONICS TE-A,BLB3F09,"2,141","15,594",0.00%
CHENIERE ENERGY INC COM STK USD0.003,2654364,47,"16,267",0.00%
CHEVRON CORP COM USD0.75,2838555,585,"136,834",0.01%
CHIBA BANK LTD/THE,6190563,274,"3,445",0.00%
CHINA CONSTRUCTION BANK-A,BP3R3L4,"70,000","135,365",0.01%
CHINA CONSTRUCTION BANK-H,B0LMTQ3,"375,724","506,222",0.02%
CHINA ENERGY ENGINEERING COR,BP2DDJ1,"8,734","4,400",0.00%
CHINA GALAXY SECURITIES CO-A,BYWPH65,"2,245","7,520",0.00%
CHINA INTERNATIONAL CAPITA-H,BZ169C6,"151,601","404,098",0.02%
CHINA INTERNATIONAL CAPTAL-A,BMYPCF3,"5,650","41,878",0.00%
CHINA INTL MARINE CONTAIN-A,CNE000000644 (ISIN),"27,859","47,623",0.00%
CHINA MEDIAEXPRESS HOLDINGS COM STK USD0,B297ZZ5,532,17,0.00%
CHINA MENGNIU DAIRY CO,B01B1L9,"98,685","360,306",0.02%
CHINA MERCHANTS BANK - H,B1DYPZ5,"43,439","361,277",0.02%
CHINA MERCHANTS BANK-A,BP3R273,"46,692","403,693",0.02%
CHINA MERCHANTS EXPRESSWAY-A,BFY8GC8,"20,312","62,337",0.00%
CHINA MERCHANTS SECURITIES-A,BP3R303,"9,125","38,465",0.00%
CHINA METAL RECYCLING,B54DPL5,"19,959",0,0.00%
CHINA MOLYBDENUM CO LTD-A,BP3R574,"26,114","38,204",0.00%
CHINA PACIFIC INSURANCE GR-A,BP3R2K6,"8,720","65,377",0.00%
CHINA PETROLEUM & CHEMICAL-A,BP3R240,"1,203","1,768",0.00%
CHINA PETROLEUM ENGINEERIN-A,BDC41N0,"2,828","2,227",0.00%
CHINA RAILWAY SIGNAL & COM-A,BK71F88,"11,520","15,865",0.00%
CHINA RESOURCES SANJIU MED-A,BD5CL42,"2,930","28,577",0.00%
CHINA SOUTH PUBLISHING -A,BP3R507,"47,453","156,698",0.01%
CHINA UNITED NETWORK-A,BP3R2X9,"32,007","37,390",0.00%
CHINA VANKE CO LTD -A,BD5CPW8,"8,616","13,761",0.00%
CHINA XD ELECTRIC CO LTD-A,BP3R671,"8,596","14,354",0.00%
CHINA YANGTZE POWER CO LTD-A,BP3R2M8,"4,170","27,106",0.00%
CHIPOTLE MEXICAN GRILL-CL A CLASS 'A' CO,B0X7DZ3,276,"26,902",0.00%
CHOCOLADEFABRIKEN LINDT-REG,5962309,0,"1,922",0.00%
CHONGOING SOKON INDUSTRY G-A,BYV1VC8,"1,340","39,333",0.00%
CHORUS LTD NPV,B54F6S5,"196,967","1,563,914",0.08%
CHUBB LTD,B3BQMF6,84,"37,586",0.00%
CHUBU ELECTRIC POWER CO INC,6195609,127,"2,154",0.00%
CHUGAI PHARMACEUTICAL CO LTD,6196408,"10,090","725,765",0.04%
CHURCH & DWIGHT CO INC USD1,2195841,43,"7,305",0.00%
CIA SANEAMENTO BASICO DE SP COM NPV,B1YCHL8,"13,401","310,070",0.02%
CIA VALE DO RIO DOCE-ADR,2857334,"16,249","232,786",0.01%
CIE FINANCIERE RICHEMON-REG,BCRWZ18,"2,271","558,165",0.03%
CIENA CORP COM STK USD0.01,B1FLZ21,"2,010","275,262",0.01%
CIGNA CORP,BHJ0775,60,"26,550",0.00%
CIMB GROUP HOLDINGS BERHAD,6075745,"92,643","274,395",0.01%
CINCINNATI FINL CORP COM,2196888,33,"7,723",0.00%
CINTAS CORP COM,2197137,75,"21,988",0.00%
CIPLA LIMITED,B011108,"11,803","340,458",0.02%
CISCO SYS INC COM,2198163,814,"77,798",0.00%
CITIC SECURITIES CO-A SHARES,BP3R2J5,"16,033","102,887",0.00%
CITIGROUP INC COM,2297907,"12,942","1,471,395",0.07%
CITIZENS FINANCIAL GROUP CFG,BQRX1X3,"1,861","131,501",0.01%
CIVMEC LTD/CDI,BFZL8R5,"20,986","26,862",0.00%
CK ASSET HOLDINGS LTD,BYZQ077,348,"2,305",0.00%
CK HUTCHISON HOLDINGS LTD,BW9P816,"13,222","114,091",0.01%
CK INFRASTRUCTURE HOLDINGS LTD,BYVS6J1,178,"2,134",0.00%
CLARIANT AG-REG,7113990,-58,"-1,048",0.00%
CLARITY PHARMACEUTICALS LTD,BMCHJF0,"22,535","93,973",0.00%
CLEAN HARBORS INC COM STK USD0.01,2202473,"1,414","525,647",0.03%
CLEANAWAY WASTE MANAGEMENT LTD,BYQ8KW7,"1,247,514","3,305,912",0.16%
CLINUVEL PHARMACEUTICALS LTD NPV,6328405,"3,509","42,314",0.00%
CLOROX CO DEL COM,2204026,23,"6,035",0.00%
CLOSE THE LOOP LTD,BP8YQ55,"85,635","20,124",0.00%
CLOUDFLARE INC - CLASS A NET,BJXC5M2,"8,534","1,484,175",0.07%
CLP HOLDINGS LTD,6097017,361,"4,901",0.00%
CME GROUP INC,2965839,"1,869","701,064",0.03%
CMS ENERGY CORP COM USD0.01,2219224,69,"7,382",0.00%
CNGR ADVANCED MATERIAL CO -A,BP91MT1,474,"3,764",0.00%
CNH INDUSTRIAL NV COM EUR0.01,BDX85Z1,399,"7,293",0.00%
CNO FINANCIAL GROUP INC,2657750,"4,192","251,940",0.01%
COCA COLA CO COM,2206657,829,"83,346",0.00%
Coca-Cola Europacific Partne,BYQQ3P5,38,"4,708",0.00%
COCA-COLA HBC AG-CDI COCA-COLA HBC AG-CD,B9895B7,60,"3,326",0.00%
COCHLEAR LIMITED,6211798,"6,382","1,850,017",0.09%
CODAN LTD NPV,6712611,49,793,0.00%
COFACE SA COFA,BNFWV75,"2,747","66,076",0.00%
COGNEX CORP COM USD0.002,2208288,"1,917","111,029",0.01%
COGNIZANT TECHNOLOGY S CL A,2257019,"2,709","336,451",0.02%
COINBASE GLOBAL INC -CLASS A,BMC9P69,35,"13,981",0.00%
COLES GROUP LTD,BYWR0T5,"116,027","2,191,755",0.11%
COLGATE-PALMOLIVE CO,2209106,164,"24,122",0.00%
COLLINS FOODS LTD NPV,B6QCFP1,"37,040","268,914",0.01%
COLOPLAST-B,B8FMRX8,"1,735","305,913",0.01%
COMCAST CORP-CLASS A,2044545,837,"50,755",0.00%
COMMERZBANK AG,B90LKT4,252,"6,637",0.00%
COMMONWEALTH BANK OF AUSTRAL,6215035,"98,616","15,112,863",0.73%
COMPAGNIE DE SAINT-GOBAIN,7380482,91,"13,047",0.00%
COMPASS GROUP PLC,BD6K457,"16,474","887,081",0.04%
COMPUGROUP MEDICAL SE & CO K,BMY7CH1,"9,197","334,694",0.02%
COMPUTERSHARE LTD NPV,6180412,"65,527","2,224,652",0.11%
CONAGRA BRANDS INC,2215460,99,"4,423",0.00%
CONCORDIA FINANCIAL GROUP LTD,BD97JW7,135,"1,204",0.00%
CONOCOPHILLIPS COM,2685717,"9,848","1,577,387",0.08%
CONSOLIDATED EDISON INC COM,2216850,66,"9,549",0.00%
CONSORCIO ARA S.A.B.-SER * SER'UNICA'NPV,B1TV969,"11,629","2,891",0.00%
CONSTELLATION BRANDS INC-A,2170473,33,"11,906",0.00%
CONSTELLATION ENERGY-W/I,BMH4FS1,"1,168","421,996",0.02%
CONSTELLATION SOFTWARE IN-28,BR52TP7,4,0,0.00%
CONSTELLATION SOFTWARE INC COM STK NPV,B15C4L6,4,"22,241",0.00%
CONTEMPORARY AMPEREX TECHN-A,BHQPSY7,"28,332","1,657,950",0.08%
CONTINENTAL AG,4598589,13,"1,459",0.00%
CONVATEC GROUP PLC-WI CTEC,BD3VFW7,"85,220","381,308",0.02%
COOPER COS INC/THE,BQPDXR3,"1,997","296,503",0.01%
COPA HOLDINGS SA-CLASS A NPV CLASS 'A',B0TNJH9,421,"59,789",0.00%
COPART INC COM NPV,2208073,"3,322","307,889",0.01%
CORBION N.V.,BFRSRR7,"7,145","258,105",0.01%
CORE & MAIN INC-CLASS A,BNXKS92,"5,675","466,640",0.02%
COREBRIDGE FINANCIAL INC,BMTX0G9,7,328,0.00%
CORNING INC COM,2224701,"6,144","471,559",0.02%
CORONADO GLOBAL RESOURCE-CDI,BGV71W0,"65,695","50,257",0.00%
CORP INMOBILIARIA VESTA SAB COM NPV,B8F6ZF8,"120,728","498,996",0.02%
CORPAY INC,BMX5GK7,13,"7,021",0.00%
CORPORATE TRAVEL MANAGEMENT NPV,B3R1D52,"32,928","436,290",0.02%
CORTEVA INC-W/I,BK73B42,685,"63,014",0.00%
COSAN SA INDUSTRIA COMERCIO COM NPV,B0P72G5,"30,557","65,188",0.00%
COSCO SHIPPING CO LTD-A,BP3RGR1,"5,036","8,088",0.00%
COSMO ENERGY HOLDINGS CO LTD 5021,BYSJJ43,"3,439","244,859",0.01%
COSMOS PHARMACEUTICAL CORP NPV,B036QP1,"1,059","72,919",0.00%
COSTAR GROUP INC USD0.01,2262864,72,"8,294",0.00%
COSTCO WHSL CORP NEW COM,2701271,569,"841,826",0.04%
COTERRA ENERGY INC,2162340,146,"6,020",0.00%
COUPANG INC,BNYHDF3,"39,724","1,410,210",0.07%
COVESTRO AG-W/I 1COV,BYTBWY9,61,"5,765",0.00%
COVIVIO,7745638,7,554,0.00%
CP ALL PCL-FOREIGN,B08YDF9,"75,545","199,510",0.01%
CRANSWICK PLC ORD GBP0.10,231888,760,"74,780",0.00%
CREDICORP LTD COM USD5,2232878,"1,704","504,567",0.02%
CREDIT AGRICOLE SA,7262610,245,"5,450",0.00%
CREDIT CORP GROUP LIMITED NPV,6287658,"9,349","149,488",0.01%
CRESUD S.A.-SPONS ADR,2226893,"3,604","73,525",0.00%
CRH PLC,B01ZKD6,612,"91,457",0.00%
CRODA INTERNATIONAL PLC,BJFFLV0,"6,144","420,661",0.02%
CROMWELL PROPERTY GROUP,6225476,"212,266","80,661",0.00%
CROWDSTRIKE HOLDINGS INC - A CRWD,BJJP138,44,"24,486",0.00%
CROWN CASTLE INTL CORP COM,BTGQCX1,85,"12,514",0.00%
CROWN HOLDINGS INC COM,2427986,19,"2,474",0.00%
CRRC CORP LTD,BP3R358,"18,759","34,584",0.00%
CSL LTD,6185495,"48,663","13,702,493",0.67%
CSX CORP COM,2160753,398,"20,753",0.00%
CT HOLDINGS PLC CTHR,6185202,"36,627","66,577",0.00%
CTS EVENTIM AG & CO KGAA,5881857,37,"5,038",0.00%
CUMMINS INC COM,2240202,28,"15,861",0.00%
CUSHMAN & WAKEFIELD PLC CWK,BFZ4N46,"1,432","30,260",0.00%
CVC CAPITAL PARTNERS PLC,BRX9808,-54,"-1,920",0.00%
CVS HEALTH CORP CVS,2577609,248,"17,973",0.00%
CYBERAGENT INC NPV,6220501,"4,232","47,663",0.00%
CYBER-ARK SOFTWARE LTD/ISRAE CYBR,BQT3XY6,10,"5,548",0.00%
CYPRIUM METALS LTD,BJDX9R8,"676,725","15,565",0.00%
CYPRIUM METALS LTD-RIGHTS03FEB2025,AU0000050536 (ISIN),"42,295",0,0.00%
D R HORTON INC COM,2250687,68,"15,442",0.00%
DAI NIPPON PRINTING CO LTD,6250906,"12,510","285,356",0.01%
DAIFUKU CO LTD,6250025,60,"2,045",0.00%
DAI-ICHI LIFE HOLDINGS INC,B601QS4,205,"8,942",0.00%
DAIICHI SANKYO CO LTD,B0J7D91,361,"16,160",0.00%
DAIMLER TRUCK HOLDING AG,BP6VLQ4,103,"6,348",0.00%
DAITO TRUST CONSTRUCT CO LTD,6250508,10,"1,786",0.00%
DAIWA HOUSE INDUSTRY CO LTD,6251363,127,"6,325",0.00%
DAIWA SECS GROUP INC,6251448,"10,820","116,537",0.01%
DALRYMPLE BAY,BNM6Z56,"5,388","19,396",0.00%
DANAHER CORP DEL COM,2250870,148,"54,853",0.00%
DANONE,B1Y9TB3,114,"12,372",0.00%
DANSKE BK A/S BEARER SHS,4588825,206,"9,433",0.00%
DARDEN RESTAURANTS INC COM,2289874,29,"8,621",0.00%
DASSAULT AVIATION SA,BMT9L19,8,"2,498",0.00%
DASSAULT SYSTEMES SE,BM8H5Y5,148,"8,296",0.00%
DATA#3 LIMITED NPV,6093015,444,"2,835",0.00%
DATADOG INC - CLASS A DDOG,BKT9Y49,"3,003","692,988",0.03%
DAVIDE CAMPARI-MILANO NV,BMQ5W17,"17,510","176,239",0.01%
DAVITA INC,2898087,21,"5,058",0.00%
DAYFORCE INC,BFX1V56,26,"3,053",0.00%
DBAPPSECURITY LTD-A,BMF7P37,"2,609","23,415",0.00%
DBS GROUP HOLDINGS LTD,6175203,373,"19,290",0.00%
DCC PLC ORD,242493,25,"2,580",0.00%
DE GREY MINING LTD DEG,6534837,"238,824","421,524",0.02%
DECKERS OUTDOOR CORP COM USD0.01,2267278,25,"8,177",0.00%
DEEP YELLOW LTD NPV,6480275,"527,224","593,127",0.03%
DEERE & CO COM,2261203,829,"567,504",0.03%
DELIVERY HERO AG,BZCNB42,32,"1,429",0.00%
DELL TECHNOLOGIES -C W/I,BHKD3S6,59,"11,009",0.00%
DELTA AIR LINES INC COM USD0.0001,B1W9D46,"2,155","210,593",0.01%
DELTA ELECTRONICS INC,6260734,"23,933","507,580",0.02%
DEMANT A/S,BZ01RF1,14,822,0.00%
DENSO CORP ORD,6640381,346,"7,870",0.00%
DENTSU GROUP INC,6416281,41,"1,596",0.00%
DESCARTES SYSTEMS GRP/THE COM NPV,2141941,33,"6,127",0.00%
DETERRA ROYALTIES LTD,BJP5T05,"4,385","16,310",0.00%
DEUTSCHE BANK AG NAMEN ORD,5750355,392,"10,898",0.00%
DEUTSCHE BOERSE AG,7021963,"1,284","477,420",0.02%
DEUTSCHE TELEKOM NPV(REGD),5842359,669,"32,319",0.00%
DEUTZ AG NPV,4557847,"6,285","42,445",0.00%
DEVELOP GLOBAL LTD,BNVQGB0,"79,514","186,063",0.01%
DEVON ENERGY CORP NEW COM,2480677,142,"7,486",0.00%
DEXCO SA,BN7F4X9,"126,622","197,298",0.01%
DEXCOM INC COM USD0.001,B0796X4,"5,757","723,128",0.04%
DEXUS,B033YN6,"220,781","1,470,401",0.07%
DEXUS INDUSTRIA REIT,BP2RQ94,"48,187","123,841",0.01%
DHL GROUP,4617859,170,"9,671",0.00%
DHT HOLDINGS INC DHT,B7JB336,"21,342","320,231",0.02%
DIAGEO PLC,237400,"12,064","619,241",0.03%
DIALOG AXIATA PLC DIAL,B0DJQ38,"2,272,870","146,589",0.01%
DIAMONDBACK ENERGY INC,B7Y8YR3,"1,105","292,295",0.01%
DIANA SHIPPING INC COM STK USD0.01,B06FL27,"11,836","37,467",0.00%
DIANA SHIPPING INC-28,BQ72J03,"2,348",421,0.00%
DIASORIN SPA EUR1,B234WN9,-1,-152,0.00%
DICK'S SPORTING GOODS INC COM USD0.01,2969637,14,"5,159",0.00%
DIGICO INFRASTRUCTURE REIT,AU0000367088 (ISIN),"2,779","12,368",0.00%
DIGITAL REALTY TRUST INC COM STK USD0.01,B03GQS4,65,"18,484",0.00%
DINO POLSKA SA DNP,BD0YVN2,"4,712","718,160",0.03%
DISCO CORP JPY50,6270948,16,"7,119",0.00%
DISCOVER FINANCIAL-W/I COM STK USD0.01,B1YLC43,55,"15,283",0.00%
DISCOVERY LTD,6177878,"4,178","69,655",0.00%
DISNEY WALT CO COM DISNEY,2270726,"1,002","180,271",0.01%
D-MARKET ELECTRONIC SERV-ADR,BLD30P7,"25,307","123,846",0.01%
DMCI HOLDINGS INC PHP1,6272483,"43,054","13,007",0.00%
DMG MORI CO LTD,6602563,"2,998","78,348",0.00%
DNB BANK ASA,BNG7113,260,"8,395",0.00%
DOCUSIGN INC DOCU,BFYT7B7,38,"5,567",0.00%
DOLLAR GENERAL CORP COM USD0.875,B5B1S13,"3,617","442,942",0.02%
DOLLAR TREE INC,2272476,42,"5,114",0.00%
DOLLARAMA INC COM NPV,B4TP9G2,57,"8,974",0.00%
DOMINION ENERGY INC,2542049,163,"14,217",0.00%
DOMINO'S PIZZA ENTERPRISES L,B07SFG7,"10,641","313,268",0.02%
DOMINOS PIZZA INC COM USD0.01,B01SD70,6,"4,074",0.00%
DONG-E E-JIAO-A,BD5CM61,"5,030","69,411",0.00%
DOORDASH INC - A,BN13P03,65,"17,614",0.00%
DOVER CORP COM,2278407,31,"9,393",0.00%
DOW INC-W/I,BHXCF84,139,"9,011",0.00%
DOWLAIS GROUP PLC,GB00BMWRZ071,"8,168","11,144",0.00%
DOWNER EDI LTD,6465573,"630,016","3,307,583",0.16%
DR ING HC F PORSCHE AG,BJN59B8,20,"1,923",0.00%
DRAFTKINGS INC-CL A,BLDDH12,85,"5,082",0.00%
DROPSUITE LTD,BYV57V1,"33,419","155,062",0.01%
DSM-FIRMENICH AG,CH1216478797,40,"6,536",0.00%
DSV A/S,B1WT5G2,"1,474","505,373",0.02%
DTE ENERGY CO COM,2280220,42,"8,258",0.00%
DUKE ENERGY CORP COM,B7VD3F2,149,"25,964",0.00%
DUPONT DE NEMOURS INC,BK0VN47,97,"11,970",0.00%
DYNATRACE INC DT,BJV2RD9,46,"4,055",0.00%
E.ON SE,4942904,455,"8,555",0.00%
EAGERS AUTOMOTIVE LTD,6296201,"44,302","524,535",0.03%
EAST JAPAN RAILWAY CO,6298542,181,"5,191",0.00%
EAST MONEY INFORMATION CO-A,BD5CPC8,"7,067","40,143",0.00%
EASTMAN CHEM CO COM,2298386,20,"2,878",0.00%
EASTROC BEVERAGE GROUP CO -A,BP91NL0,"5,497","300,533",0.01%
EBAY INC COM,2293819,96,"9,568",0.00%
EBOS GROUP LTD EBO,BH36SD2,"5,608","190,608",0.01%
ECOLAB INC COM,2304227,50,"18,807",0.00%
EDENRED EUR2,B62G1B5,46,"2,419",0.00%
EDISON INTL COM,2829515,66,"8,460",0.00%
EDP RENOVAVEIS SA EUR5,B39GNW2,96,"1,610",0.00%
EDWARDS LIFESCIENCES C COM,2567116,"10,280","1,229,163",0.06%
EIFFAGE,B13X013,8,"1,112",0.00%
EISAI CO LTD,6307200,64,"2,848",0.00%
ELDERS LTD,6357852,"53,603","383,798",0.02%
ELECTRICIDADE DE PORTUGAL SA,4103596,284,"1,466",0.00%
ELECTRONIC ARTS INC COM,2310194,"5,774","1,364,439",0.07%
ELEMENT FINANCIAL CORP ELEMENT FINANCIAL,B7FNMQ2,70,"2,292",0.00%
ELEVANCE HEALTH INC,BSPHGL4,494,"294,169",0.01%
ELF BEAUTY INC ELF,BDDQ975,"3,817","773,976",0.04%
ELI LILLY & CO,2516152,"1,565","1,950,811",0.09%
ELIA GROUP SA/NV,B09M9F4,0,-44,0.00%
ELISA CORP SHS,5701513,6,421,0.00%
EMAAR PROPERTIES PJSC,B01RM25,"69,883","394,866",0.02%
EMCOR GROUP INC COM,2474164,7,"4,855",0.00%
EMECO HOLDINGS LTD NPV,B1978V5,"264,947","242,427",0.01%
EMERA INC COM NPV,2650050,35,"2,136",0.00%
EMERALD RESOURCES NL,6107381,-113,-367,0.00%
EMERSON ELEC CO COM,2313405,113,"22,692",0.00%
EMPIRE CO LTD 'A' CLASS'A'N/VTG COM NPV,2314000,22,"1,061",0.00%
EMPRESA BRAS DE AERONAUTICA COM NPV,B16FPG6,"18,562","272,674",0.01%
EMS-CHEMIE HOLDING AG CHF0.01(REGD)(POST,7635610,1,705,0.00%
EN JAPAN INC,6352750,"10,710","233,449",0.01%
EN+ GROUP INTERNATIONAL PJSC,BJ9NFD0,"2,389",0,0.00%
ENBRIDGE INC,2466149,383,"26,229",0.00%
ENCOMPASS HEALTH CORP,BYX2YJ7,"1,590","237,106",0.01%
