Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
AGC INC,6055208,1,29,0.00%
AGEAS,B86S2N0,0,2,0.00%
AGILENT TECHNOLOGIES I COM,2520153,1,140,0.00%
AGL ENERGY LTD,BSS7GP5,703,"7,940",0.01%
AGNICO EAGLE MINES LTD,2009823,1,168,0.00%
AIA GROUP LTD USD1.00,B4TX8S1,402,"4,702",0.01%
AIB GROUP PLC,BF0L353,72,645,0.00%
AICHI FINANCIAL GROUP INC,BP29PF9,49,"1,270",0.00%
AINSWORTH GAME TECHNOLOGY LT NPV,6427829,452,391,0.00%
AIR CANADA AC,BSDHYK1,0,7,0.00%
AIR LIQUIDE SA,B1YXBJ7,1,292,0.00%
AIR NEW ZEALAND LTD NPV,6426569,"1,897","1,034",0.00%
AIR PRODS & CHEMS INC COM,2011602,0,209,0.00%
AIRBNB INC,BMGYYH4,1,199,0.00%
AISIN CORP,6010702,1,11,0.00%
AITKEN SPENCE PLC SPEN,6009391,"2,104","1,682",0.00%
AJINOMOTO INC COM,6010906,1,55,0.00%
AK TRANSNEFT PJSC,B59NHY7,3,0,0.00%
AKAMAI TECHNOLOGIES COM STK USD0.01,2507457,0,43,0.00%
AKER BP ASA,B1L95G3,0,15,0.00%
AKZO NOBEL,BJ2KSG2,0,34,0.00%
ALBEMARLE CORP,2046853,0,34,0.00%
ALBERTSONS COS INC - CLASS A,BYNQ369,1,29,0.00%
ALCOA CORP,BYNF418,34,"2,088",0.00%
ALCOA CORP-CDI,BSY2LN7,778,"46,154",0.09%
ALCON INC,BJT1GR5,1,132,0.00%
ALDAR PROPERTIES PJSC ALDAR,B0LX3Y2,469,"1,585",0.00%
ALEXANDRIA REAL ESTATE EQUIT COM STK USD,2009210,0,64,0.00%
ALFA LAVAL AB,7332687,1,88,0.00%
ALIBABA GROUP HOLDING LTD,BK6YZP5,303,"5,184",0.01%
ALIBABA GROUP HOLDING-SP ADR,BP41ZD1,16,"2,254",0.00%
ALIGN TECHNOLOGY INC COM USD0.0001,2679204,12,"4,031",0.01%
ALIMENTATION COUCHE-TARD INC,BL56KN2,2,183,0.00%
ALLEGION PLC CIM USD0.01 'WI',BFRT3W7,13,"2,732",0.01%
ALLFUNDS GROUP PLC,BNTJ354,818,"6,892",0.01%
ALLIANT ENERGY CORP COM,2973821,0,44,0.00%
ALLIANZ SE-REG,5231485,1,396,0.00%
ALLSTATE CORP COM,2019952,1,177,0.00%
ALLY FINANCIAL INC ALLY,B72XK05,1,38,0.00%
ALNYLAM PHARMACEUTICALS INC COM USD0.01,B00FWN1,0,95,0.00%
ALPHA HPA LTD,BH0K666,"1,186","1,055",0.00%
ALPHA METALLURGICAL RESOURCE,BMFND53,3,"1,032",0.00%
ALPHABET INC-CL A,BYVY8G0,119,"36,361",0.07%
ALPHABET INC-CL C,BYY88Y7,42,"13,056",0.02%
ALS LTD,B86SZR5,"1,478","22,284",0.04%
ALSTOM,B0DJ8Q5,1,36,0.00%
ALSTOM SA-SCRIP,BMY8SG5,0,0,0.00%
ALTAGAS LTD COM NPV,B43WJC5,0,7,0.00%
ALTIUS MINERALS CORPORATION COM NPV,2122355,96,"2,866",0.01%
ALTRIA GROUP INC,2692632,4,310,0.00%
ALUMINUM CORP OF CHINA LTD,BP3R4D3,113,182,0.00%
AMADEUS IT GROUP SA,B3MSM28,40,"4,597",0.01%
AMAERO INTERNATIONAL LTD,BKRQJZ8,"3,775",944,0.00%
AMAZON COM INC COM,2000019,171,"60,636",0.11%
AMCOR PLC,BJ1F307,3,40,0.00%
AMCOR PLC-CDI,6066608,"1,611","24,124",0.04%
AMERADA HESS CORP COM,2023748,1,120,0.00%
AMEREN CORP COM,2050832,1,105,0.00%
AMERICA MOVIL SAB DE C-SER B,BMVRB77,794,922,0.00%
AMERICA MOVIL SAB DE CV,BNHN4P5,302,"6,975",0.01%
AMERICAN AIRLINES GROUP INC COM USD1,BCV7KT2,81,"2,273",0.00%
AMERICAN ELEC PWR INC COM,2026242,1,155,0.00%
AMERICAN EXPRESS CO COM,2026082,41,"19,467",0.04%
AMERICAN FINL GROUP IN COM,2134532,0,31,0.00%
AMERICAN HOMES 4 RENT- A AMERICAN HOMES,BCF5RR9,1,51,0.00%
