Hostplus Superannuation Fund,,,,
HC Defensive Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Defensive Option —Assets,,,Summary,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
CANON INC ORD,6172323,2,123,0.00%
CANSINO BIOLOGICS INC-A,BMD9JD3,1,13,0.00%
CAPCOM CO LTD,6173694,1,31,0.00%
CAPGEMINI SE,4163437,0,99,0.00%
CAPITAL ONE FINANCIAL CORP,2654461,18,"5,323",0.01%
CAPITALAND INTEGRATED COMMER,6420129,25,58,0.00%
CAPITALAND INVESTMENT LTD/SI,BNHXFJ6,9,28,0.00%
CAPITEC BANK HOLDINGS LTD ZAR0.01,6440859,13,"3,411",0.01%
CAPLAND ASCENDAS REIT,6563875,9,28,0.00%
CAPRAL LIMITED,6013972,106,"1,052",0.00%
CAPRICORN METALS LTD,BDD98W2,"1,747","10,972",0.02%
CAPSTONE COPPER CORP,BMY5XY9,28,280,0.00%
CAPSTONE COPPER CORP-CDI,BQXH1K6,325,"3,190",0.01%
CARAVEL MINERALS LTD,B90KY77,"2,848",541,0.00%
CARAVEL MINERALS LTD-CW25,BNSP5H9,112,2,0.00%
CARDINAL HEALTH INC COM,2175672,1,101,0.00%
CARL ZEISS MEDITEC AG NPV,5922961,0,9,0.00%
CARLISLE COS INC COM USD1,2176318,0,76,0.00%
CARLSBERG AS-B,4169219,0,36,0.00%
CARLYLE GROUP INC/THE,BKRTG56,1,41,0.00%
CARMAX INC COM,2983563,0,36,0.00%
CARNIVAL CORP COM,2523044,2,89,0.00%
CARREFOUR SA,5641567,11,244,0.00%
CARRIER GLOBAL CORP-W/I,BK4N0D7,2,203,0.00%
CARSALES.COM.AU LTD NPV,BW0BGZ3,473,"17,027",0.03%
CARVANA CO CVNA,BYQHPG3,8,"2,773",0.01%
CATERPILLAR INC DEL COM,2180201,1,625,0.00%
CBOE GLOBAL MARKETS INC,B5834C5,0,86,0.00%
CBRE GROUP INC,B6WVMH3,35,"7,449",0.01%
CCL INDUSTRIES INC - CL B 'B'NON-VTG COM,2159795,0,15,0.00%
CDN IMPERIAL BK OF COM COM,2170525,2,161,0.00%
CDW CORP/DE COM USD0.01,BBM5MD6,22,"6,083",0.01%
CELANESE CORP-SERIES A COM SERIES 'A' US,B05MZT4,0,18,0.00%
CELLNEX TELECOM SAU CLNX,BX90C05,1,57,0.00%
CELSIUS HOLDINGS INC,B19HX21,24,"1,038",0.00%
CEMEX SA -SPONS ADR PART CER,2488671,319,"2,903",0.01%
CENCORA INC,2795393,13,"4,814",0.01%
CENERGY HOLDINGS SA,BE0974303357 (ISIN),34,527,0.00%
CENOVUS ENERGY INC COM NPV,B57FG04,3,80,0.00%
CENTENE CORP COM USD0.001,2807061,5,511,0.00%
CENTERPOINT ENERGY INC COM,2440637,1,72,0.00%
CENTRAL GLASS CO LTD CENTRAL GLASS CO LT,6184306,24,834,0.00%
CENTRAL JAPAN RAILWAY CO,6183552,1,40,0.00%
CENTRICA PLC,B033F22,314,848,0.00%
Centuria Capital Group,6518745,806,"1,431",0.00%
CENTURIA INDUSTRIAL REIT,BD31FD8,816,"2,302",0.00%
CENTURIA OFFICE REIT,BKTW448,791,870,0.00%
CETTIRE LTD,BN7J464,752,"1,135",0.00%
CEYLON GUARDIAN INVESTMENT GUAR,6183080,164,143,0.00%
CF INDUSTRIES HOLDINGS INC COM USD0.01,B0G4K50,0,55,0.00%
CGI INC GIB/A,BJ2L575,26,"4,633",0.01%
CHALICE MINING LTD,B0ZGW28,"1,207","1,334",0.00%
CHALLENGER LTD,6726300,182,"1,092",0.00%
CHAMPION IRON LTD,BLD3778,130,758,0.00%
CHAMPION IRON LTD CIA,BLD1SB3,585,"3,361",0.01%
CHAMPIONX CORP-W/I,BMW7N69,84,"3,698",0.01%
CHANGCHUN HIGH & NEW TECH-A,BD5CDB3,2,42,0.00%
CHANGSHA ZOOMLION HEAVY INDS,BD5CPZ1,234,372,0.00%
CHARLES RIVER LABORATORIES COM,2604336,0,29,0.00%
CHARTER COMMUNICATIONS INC,BZ6VT82,0,113,0.00%
CHARTER HALL GROUP NPV (STAPLED),B15F6S6,"1,308","18,770",0.03%
CHARTER HALL LONG WALE REIT CLW,BDB46J2,356,"1,331",0.00%
CHARTER HALL RETAIL REIT,6225595,"1,086","3,421",0.01%
CHARTER HALL SOCIAL INFRASTR,BHJVMY0,3,8,0.00%
CHECK POINT SOFTWARE T ORD,2181334,50,"15,116",0.03%
CHENGDU M&S ELECTRONICS TE-A,BLB3F09,11,84,0.00%
CHENIERE ENERGY INC COM STK USD0.003,2654364,0,171,0.00%
CHEVRON CORP COM USD0.75,2838555,6,"1,429",0.00%
CHIBA BANK LTD/THE,6190563,3,36,0.00%
CHINA CONSTRUCTION BANK-A,BP3R3L4,375,725,0.00%
CHINA CONSTRUCTION BANK-H,B0LMTQ3,"2,012","2,711",0.01%
CHINA ENERGY ENGINEERING COR,BP2DDJ1,47,24,0.00%
CHINA GALAXY SECURITIES CO-A,BYWPH65,12,40,0.00%
CHINA INTERNATIONAL CAPITA-H,BZ169C6,812,"2,164",0.00%
CHINA INTERNATIONAL CAPTAL-A,BMYPCF3,30,224,0.00%
CHINA INTL MARINE CONTAIN-A,CNE000000644 (ISIN),149,255,0.00%
CHINA MEDIAEXPRESS HOLDINGS COM STK USD0,B297ZZ5,5,0,0.00%
CHINA MENGNIU DAIRY CO,B01B1L9,529,"1,930",0.00%
CHINA MERCHANTS BANK - H,B1DYPZ5,233,"1,935",0.00%
CHINA MERCHANTS BANK-A,BP3R273,250,"2,162",0.00%
CHINA MERCHANTS EXPRESSWAY-A,BFY8GC8,109,334,0.00%
CHINA MERCHANTS SECURITIES-A,BP3R303,49,206,0.00%
CHINA METAL RECYCLING,B54DPL5,107,0,0.00%
CHINA MOLYBDENUM CO LTD-A,BP3R574,140,205,0.00%
CHINA PACIFIC INSURANCE GR-A,BP3R2K6,47,350,0.00%
CHINA PETROLEUM & CHEMICAL-A,BP3R240,6,9,0.00%
CHINA PETROLEUM ENGINEERIN-A,BDC41N0,15,12,0.00%
CHINA RAILWAY SIGNAL & COM-A,BK71F88,62,85,0.00%
CHINA RESOURCES SANJIU MED-A,BD5CL42,16,153,0.00%
CHINA SOUTH PUBLISHING -A,BP3R507,254,839,0.00%
CHINA UNITED NETWORK-A,BP3R2X9,171,200,0.00%
CHINA VANKE CO LTD -A,BD5CPW8,46,74,0.00%
CHINA XD ELECTRIC CO LTD-A,BP3R671,46,77,0.00%
CHINA YANGTZE POWER CO LTD-A,BP3R2M8,22,145,0.00%
CHIPOTLE MEXICAN GRILL-CL A CLASS 'A' CO,B0X7DZ3,3,283,0.00%
CHOCOLADEFABRIKEN LINDT-REG,5962309,0,20,0.00%
CHONGOING SOKON INDUSTRY G-A,BYV1VC8,7,211,0.00%
CHORUS LTD NPV,B54F6S5,"1,971","15,649",0.03%
CHUBB LTD,B3BQMF6,1,395,0.00%
CHUBU ELECTRIC POWER CO INC,6195609,1,23,0.00%
CHUGAI PHARMACEUTICAL CO LTD,6196408,104,"7,484",0.01%
CHURCH & DWIGHT CO INC USD1,2195841,0,77,0.00%
CIA SANEAMENTO BASICO DE SP COM NPV,B1YCHL8,72,"1,661",0.00%
CIA VALE DO RIO DOCE-ADR,2857334,87,"1,247",0.00%
CIE FINANCIERE RICHEMON-REG,BCRWZ18,23,"5,760",0.01%
CIENA CORP COM STK USD0.01,B1FLZ21,21,"2,838",0.01%
CIGNA CORP,BHJ0775,1,279,0.00%
CIMB GROUP HOLDINGS BERHAD,6075745,496,"1,470",0.00%
CINCINNATI FINL CORP COM,2196888,0,81,0.00%
CINTAS CORP COM,2197137,1,231,0.00%
CIPLA LIMITED,B011108,63,"1,823",0.00%
CISCO SYS INC COM,2198163,9,819,0.00%
CITIC SECURITIES CO-A SHARES,BP3R2J5,86,551,0.00%
CITIGROUP INC COM,2297907,134,"15,179",0.03%
CITIZENS FINANCIAL GROUP CFG,BQRX1X3,19,"1,357",0.00%
CIVMEC LTD/CDI,BFZL8R5,210,269,0.00%
CK ASSET HOLDINGS LTD,BYZQ077,4,24,0.00%
CK HUTCHISON HOLDINGS LTD,BW9P816,136,"1,178",0.00%
CK INFRASTRUCTURE HOLDINGS LTD,BYVS6J1,2,22,0.00%
CLARIANT AG-REG,7113990,-1,-10,0.00%
CLARITY PHARMACEUTICALS LTD,BMCHJF0,226,940,0.00%
CLEAN HARBORS INC COM STK USD0.01,2202473,15,"5,419",0.01%
CLEANAWAY WASTE MANAGEMENT LTD,BYQ8KW7,"12,483","33,079",0.06%
CLINUVEL PHARMACEUTICALS LTD NPV,6328405,35,423,0.00%
CLOROX CO DEL COM,2204026,0,64,0.00%
CLOSE THE LOOP LTD,BP8YQ55,857,201,0.00%
CLOUDFLARE INC - CLASS A NET,BJXC5M2,88,"15,303",0.03%
CLP HOLDINGS LTD,6097017,4,52,0.00%
CME GROUP INC,2965839,19,"7,233",0.01%
CMS ENERGY CORP COM USD0.01,2219224,1,77,0.00%
CNGR ADVANCED MATERIAL CO -A,BP91MT1,3,20,0.00%
CNH INDUSTRIAL NV COM EUR0.01,BDX85Z1,4,76,0.00%
CNO FINANCIAL GROUP INC,2657750,43,"2,597",0.00%
COCA COLA CO COM,2206657,9,877,0.00%
Coca-Cola Europacific Partne,BYQQ3P5,0,49,0.00%
COCA-COLA HBC AG-CDI COCA-COLA HBC AG-CD,B9895B7,1,35,0.00%
COCHLEAR LIMITED,6211798,64,"18,582",0.03%
CODAN LTD NPV,6712611,1,8,0.00%
COFACE SA COFA,BNFWV75,28,681,0.00%
COGNEX CORP COM USD0.002,2208288,20,"1,145",0.00%
COGNIZANT TECHNOLOGY S CL A,2257019,28,"3,471",0.01%
COINBASE GLOBAL INC -CLASS A,BMC9P69,0,148,0.00%
COLES GROUP LTD,BYWR0T5,"1,161","21,933",0.04%
COLGATE-PALMOLIVE CO,2209106,2,254,0.00%
COLLINS FOODS LTD NPV,B6QCFP1,371,"2,691",0.00%
COLOPLAST-B,B8FMRX8,18,"3,154",0.01%
COMCAST CORP-CLASS A,2044545,9,534,0.00%
COMMERZBANK AG,B90LKT4,3,69,0.00%
COMMONWEALTH BANK OF AUSTRAL,6215035,987,"151,248",0.28%
COMPAGNIE DE SAINT-GOBAIN,7380482,1,137,0.00%
COMPASS GROUP PLC,BD6K457,170,"9,149",0.02%
COMPUGROUP MEDICAL SE & CO K,BMY7CH1,95,"3,450",0.01%
COMPUTERSHARE LTD NPV,6180412,656,"22,262",0.04%
CONAGRA BRANDS INC,2215460,1,47,0.00%
CONCORDIA FINANCIAL GROUP LTD,BD97JW7,1,13,0.00%
CONOCOPHILLIPS COM,2685717,102,"16,270",0.03%
CONSOLIDATED EDISON INC COM,2216850,1,101,0.00%
CONSORCIO ARA S.A.B.-SER * SER'UNICA'NPV,B1TV969,120,30,0.00%
CONSTELLATION BRANDS INC-A,2170473,0,125,0.00%
CONSTELLATION ENERGY-W/I,BMH4FS1,12,"4,356",0.01%
CONSTELLATION SOFTWARE IN-28,BR52TP7,0,0,0.00%
CONSTELLATION SOFTWARE INC COM STK NPV,B15C4L6,0,234,0.00%
CONTEMPORARY AMPEREX TECHN-A,BHQPSY7,204,"11,966",0.02%
CONTINENTAL AG,4598589,0,15,0.00%
CONVATEC GROUP PLC-WI CTEC,BD3VFW7,879,"3,931",0.01%
COOPER COS INC/THE,BQPDXR3,21,"3,058",0.01%
COPA HOLDINGS SA-CLASS A NPV CLASS 'A',B0TNJH9,4,616,0.00%
COPART INC COM NPV,2208073,34,"3,178",0.01%
CORBION N.V.,BFRSRR7,74,"2,661",0.00%
CORE & MAIN INC-CLASS A,BNXKS92,59,"4,811",0.01%
COREBRIDGE FINANCIAL INC,BMTX0G9,0,4,0.00%
CORNING INC COM,2224701,63,"4,864",0.01%
CORONADO GLOBAL RESOURCE-CDI,BGV71W0,657,503,0.00%
CORP INMOBILIARIA VESTA SAB COM NPV,B8F6ZF8,647,"2,672",0.00%
CORPAY INC,BMX5GK7,0,74,0.00%
CORPORATE TRAVEL MANAGEMENT NPV,B3R1D52,329,"4,366",0.01%
CORTEVA INC-W/I,BK73B42,7,653,0.00%
COSAN SA INDUSTRIA COMERCIO COM NPV,B0P72G5,164,349,0.00%
COSCO SHIPPING CO LTD-A,BP3RGR1,27,43,0.00%
COSMO ENERGY HOLDINGS CO LTD 5021,BYSJJ43,35,"2,524",0.00%
COSMOS PHARMACEUTICAL CORP NPV,B036QP1,11,752,0.00%
COSTAR GROUP INC USD0.01,2262864,1,88,0.00%
COSTCO WHSL CORP NEW COM,2701271,6,"8,708",0.02%
COTERRA ENERGY INC,2162340,2,63,0.00%
COUPANG INC,BNYHDF3,387,"13,722",0.03%
COVESTRO AG-W/I 1COV,BYTBWY9,1,60,0.00%
COVIVIO,7745638,0,6,0.00%
CP ALL PCL-FOREIGN,B08YDF9,405,"1,069",0.00%
CRANSWICK PLC ORD GBP0.10,231888,8,771,0.00%
CREDICORP LTD COM USD5,2232878,12,"3,456",0.01%
CREDIT AGRICOLE SA,7262610,3,57,0.00%
CREDIT CORP GROUP LIMITED NPV,6287658,94,"1,496",0.00%
CRESUD S.A.-SPONS ADR,2226893,37,758,0.00%
CRH PLC,B01ZKD6,6,948,0.00%
CRODA INTERNATIONAL PLC,BJFFLV0,63,"4,337",0.01%
CROMWELL PROPERTY GROUP,6225476,"2,124",807,0.00%
CROWDSTRIKE HOLDINGS INC - A CRWD,BJJP138,0,258,0.00%
CROWN CASTLE INTL CORP COM,BTGQCX1,1,132,0.00%
CROWN HOLDINGS INC COM,2427986,0,26,0.00%
CRRC CORP LTD,BP3R358,100,185,0.00%
CSL LTD,6185495,487,"137,122",0.25%
CSX CORP COM,2160753,4,219,0.00%
CT HOLDINGS PLC CTHR,6185202,378,686,0.00%
CTS EVENTIM AG & CO KGAA,5881857,0,53,0.00%
CUMMINS INC COM,2240202,0,167,0.00%
CUSHMAN & WAKEFIELD PLC CWK,BFZ4N46,15,312,0.00%
CVC CAPITAL PARTNERS PLC,BRX9808,-1,-19,0.00%
CVS HEALTH CORP CVS,2577609,3,190,0.00%
CYBERAGENT INC NPV,6220501,44,491,0.00%
CYBER-ARK SOFTWARE LTD/ISRAE CYBR,BQT3XY6,0,58,0.00%
CYPRIUM METALS LTD,BJDX9R8,"6,771",156,0.00%
CYPRIUM METALS LTD-RIGHTS03FEB2025,AU0000050536 (ISIN),423,0,0.00%
D R HORTON INC COM,2250687,1,162,0.00%
DAI NIPPON PRINTING CO LTD,6250906,129,"2,942",0.01%
DAIFUKU CO LTD,6250025,1,21,0.00%
DAI-ICHI LIFE HOLDINGS INC,B601QS4,2,94,0.00%
DAIICHI SANKYO CO LTD,B0J7D91,4,170,0.00%
DAIMLER TRUCK HOLDING AG,BP6VLQ4,1,67,0.00%
DAITO TRUST CONSTRUCT CO LTD,6250508,0,19,0.00%
DAIWA HOUSE INDUSTRY CO LTD,6251363,1,66,0.00%
DAIWA SECS GROUP INC,6251448,112,"1,202",0.00%
DALRYMPLE BAY,BNM6Z56,54,194,0.00%
DANAHER CORP DEL COM,2250870,2,576,0.00%
DANONE,B1Y9TB3,1,131,0.00%
DANSKE BK A/S BEARER SHS,4588825,2,99,0.00%
DARDEN RESTAURANTS INC COM,2289874,0,90,0.00%
DASSAULT AVIATION SA,BMT9L19,0,26,0.00%
DASSAULT SYSTEMES SE,BM8H5Y5,2,87,0.00%
DATA#3 LIMITED NPV,6093015,4,28,0.00%
DATADOG INC - CLASS A DDOG,BKT9Y49,31,"7,147",0.01%
DAVIDE CAMPARI-MILANO NV,BMQ5W17,181,"1,817",0.00%
DAVITA INC,2898087,0,53,0.00%
DAYFORCE INC,BFX1V56,0,32,0.00%
DBAPPSECURITY LTD-A,BMF7P37,14,125,0.00%
DBS GROUP HOLDINGS LTD,6175203,4,203,0.00%
DCC PLC ORD,242493,0,27,0.00%
DE GREY MINING LTD DEG,6534837,"2,390","4,218",0.01%
DECKERS OUTDOOR CORP COM USD0.01,2267278,0,87,0.00%
DEEP YELLOW LTD NPV,6480275,"5,275","5,935",0.01%
DEERE & CO COM,2261203,9,"5,858",0.01%
DELIVERY HERO AG,BZCNB42,0,15,0.00%
DELL TECHNOLOGIES -C W/I,BHKD3S6,1,116,0.00%
DELTA AIR LINES INC COM USD0.0001,B1W9D46,22,"2,171",0.00%
DELTA ELECTRONICS INC,6260734,128,"2,718",0.01%
DEMANT A/S,BZ01RF1,0,9,0.00%
DENSO CORP ORD,6640381,4,83,0.00%
DENTSU GROUP INC,6416281,0,17,0.00%
DESCARTES SYSTEMS GRP/THE COM NPV,2141941,0,64,0.00%
DETERRA ROYALTIES LTD,BJP5T05,44,163,0.00%
DEUTSCHE BANK AG NAMEN ORD,5750355,4,114,0.00%
DEUTSCHE BOERSE AG,7021963,13,"4,925",0.01%
DEUTSCHE TELEKOM NPV(REGD),5842359,7,342,0.00%
DEUTZ AG NPV,4557847,65,438,0.00%
DEVELOP GLOBAL LTD,BNVQGB0,796,"1,862",0.00%
DEVON ENERGY CORP NEW COM,2480677,1,78,0.00%
DEXCO SA,BN7F4X9,678,"1,057",0.00%
DEXCOM INC COM USD0.001,B0796X4,59,"7,457",0.01%
DEXUS,B033YN6,"2,209","14,714",0.03%
DEXUS INDUSTRIA REIT,BP2RQ94,482,"1,239",0.00%
DHL GROUP,4617859,2,103,0.00%
DHT HOLDINGS INC DHT,B7JB336,220,"3,301",0.01%
DIAGEO PLC,237400,124,"6,389",0.01%
DIALOG AXIATA PLC DIAL,B0DJQ38,"23,431","1,511",0.00%
DIAMONDBACK ENERGY INC,B7Y8YR3,11,"3,015",0.01%
DIANA SHIPPING INC COM STK USD0.01,B06FL27,122,386,0.00%
DIANA SHIPPING INC-28,BQ72J03,24,4,0.00%
DIASORIN SPA EUR1,B234WN9,0,-1,0.00%
DICK'S SPORTING GOODS INC COM USD0.01,2969637,0,54,0.00%
DIGICO INFRASTRUCTURE REIT,AU0000367088 (ISIN),28,124,0.00%
DIGITAL REALTY TRUST INC COM STK USD0.01,B03GQS4,1,195,0.00%
DINO POLSKA SA DNP,BD0YVN2,26,"3,911",0.01%
DISCO CORP JPY50,6270948,0,75,0.00%
DISCOVER FINANCIAL-W/I COM STK USD0.01,B1YLC43,1,161,0.00%
DISCOVERY LTD,6177878,43,718,0.00%
DISNEY WALT CO COM DISNEY,2270726,10,"1,873",0.00%
D-MARKET ELECTRONIC SERV-ADR,BLD30P7,261,"1,277",0.00%
DMCI HOLDINGS INC PHP1,6272483,444,134,0.00%
DMG MORI CO LTD,6602563,31,808,0.00%
DNB BANK ASA,BNG7113,3,88,0.00%
DOCUSIGN INC DOCU,BFYT7B7,0,59,0.00%
DOLLAR GENERAL CORP COM USD0.875,B5B1S13,37,"4,568",0.01%
DOLLAR TREE INC,2272476,0,54,0.00%
DOLLARAMA INC COM NPV,B4TP9G2,1,95,0.00%
DOMINION ENERGY INC,2542049,2,150,0.00%
DOMINO'S PIZZA ENTERPRISES L,B07SFG7,106,"3,135",0.01%
DOMINOS PIZZA INC COM USD0.01,B01SD70,0,43,0.00%
DONG-E E-JIAO-A,BD5CM61,27,372,0.00%
DOORDASH INC - A,BN13P03,1,185,0.00%
DOVER CORP COM,2278407,0,98,0.00%
DOW INC-W/I,BHXCF84,1,95,0.00%
DOWLAIS GROUP PLC,GB00BMWRZ071,84,115,0.00%
DOWNER EDI LTD,6465573,"6,304","33,096",0.06%
DR ING HC F PORSCHE AG,BJN59B8,0,20,0.00%
DRAFTKINGS INC-CL A,BLDDH12,1,54,0.00%
DROPSUITE LTD,BYV57V1,334,"1,552",0.00%
DSM-FIRMENICH AG,CH1216478797,0,68,0.00%
DSV A/S,B1WT5G2,15,"5,214",0.01%
DTE ENERGY CO COM,2280220,0,87,0.00%
DUKE ENERGY CORP COM,B7VD3F2,2,273,0.00%
DUPONT DE NEMOURS INC,BK0VN47,1,126,0.00%
DYNATRACE INC DT,BJV2RD9,0,43,0.00%
E.ON SE,4942904,5,90,0.00%
EAGERS AUTOMOTIVE LTD,6296201,443,"5,249",0.01%
EAST JAPAN RAILWAY CO,6298542,2,55,0.00%
EAST MONEY INFORMATION CO-A,BD5CPC8,38,215,0.00%
EASTMAN CHEM CO COM,2298386,0,31,0.00%
EASTROC BEVERAGE GROUP CO -A,BP91NL0,29,"1,610",0.00%
EBAY INC COM,2293819,1,101,0.00%
EBOS GROUP LTD EBO,BH36SD2,56,"1,907",0.00%
ECOLAB INC COM,2304227,1,198,0.00%
EDENRED EUR2,B62G1B5,0,25,0.00%
EDISON INTL COM,2829515,1,90,0.00%
EDP RENOVAVEIS SA EUR5,B39GNW2,1,17,0.00%
EDWARDS LIFESCIENCES C COM,2567116,106,"12,675",0.02%
EIFFAGE,B13X013,0,12,0.00%
EISAI CO LTD,6307200,1,30,0.00%
ELDERS LTD,6357852,536,"3,840",0.01%
ELECTRICIDADE DE PORTUGAL SA,4103596,3,16,0.00%
ELECTRONIC ARTS INC COM,2310194,60,"14,069",0.03%
ELEMENT FINANCIAL CORP ELEMENT FINANCIAL,B7FNMQ2,1,24,0.00%
ELEVANCE HEALTH INC,BSPHGL4,5,"3,039",0.01%
ELF BEAUTY INC ELF,BDDQ975,39,"7,979",0.01%
ELI LILLY & CO,2516152,16,"20,156",0.04%
ELIA GROUP SA/NV,B09M9F4,0,0,0.00%
ELISA CORP SHS,5701513,0,5,0.00%
EMAAR PROPERTIES PJSC,B01RM25,374,"2,115",0.00%
EMCOR GROUP INC COM,2474164,0,52,0.00%
EMECO HOLDINGS LTD NPV,B1978V5,"2,651","2,426",0.00%
EMERA INC COM NPV,2650050,0,23,0.00%
EMERALD RESOURCES NL,6107381,-1,-3,0.00%
EMERSON ELEC CO COM,2313405,1,239,0.00%
EMPIRE CO LTD 'A' CLASS'A'N/VTG COM NPV,2314000,0,11,0.00%
EMPRESA BRAS DE AERONAUTICA COM NPV,B16FPG6,99,"1,460",0.00%
EMS-CHEMIE HOLDING AG CHF0.01(REGD)(POST,7635610,0,8,0.00%
EN JAPAN INC,6352750,110,"2,407",0.00%
EN+ GROUP INTERNATIONAL PJSC,BJ9NFD0,13,0,0.00%
ENBRIDGE INC,2466149,4,277,0.00%
ENCOMPASS HEALTH CORP,BYX2YJ7,16,"2,444",0.00%
ENDAVA PLC- SPON ADR DAVA,BZ0WK66,96,"4,795",0.01%
ENDEAVOUR GROUP LTD/AUSTRALI,BNVS144,"1,652","6,939",0.01%
ENDEAVOUR MINING PLC,BL6K5J4,1,15,0.00%
ENDESA SA,5271782,1,31,0.00%
ENEL,7144569,16,182,0.00%
ENEOS HOLDINGS INC,B627LW9,4,35,0.00%
ENGIE,B0C2CQ3,4,111,0.00%
ENHABIT INC-W/I,BQFMQ93,185,"2,331",0.00%
ENI SPA,7145056,6,125,0.00%
ENPHASE ENERGY INC ENPH,B65SQW4,41,"4,572",0.01%
ENPRO INC,2951292,3,855,0.00%
ENTAIN PLC,B5VQMV6,1,19,0.00%
ENTEGRIS INC COM,2599700,0,55,0.00%
ENTERGY CORP NEW COM,2317087,1,85,0.00%
ENVIRONMENTAL GROUP LTD/THE,6206653,"1,034",326,0.00%
ENVISTA HOLDINGS CORP,BK63SF3,172,"5,365",0.01%
EOG RES INC COM,2318024,1,238,0.00%
EOPTOLINK TECHNOLOGY INC L-A,BD761B9,3,65,0.00%
EPAM SYSTEMS INC EPAM SYSTEMS INC,B44Z3T8,3,"1,052",0.00%
EPIROC AB-A,BMD58R8,1,18,0.00%
EPIROC AB-B,BMD58W3,1,37,0.00%
EQT AB,BJ7W9K4,0,21,0.00%
EQT CORP,2319414,1,94,0.00%
EQT HOLDINGS LTD,BD5WNY6,64,"2,036",0.00%
EQUIFAX INC COM,2319146,0,97,0.00%
EQUINIX INC COM NPV,BVLZX12,0,323,0.00%
EQUINOR ASA,7133608,2,77,0.00%
EQUITABLE HOLDINGS INC,BKRMR96,1,51,0.00%
EQUITY LIFESTYLE PROPERTIES COM USD0.01,2563125,0,48,0.00%
EQUITY RESIDENTIAL SBI USD0.01,2319157,1,83,0.00%
ERICSSON LM-B SHS,5959378,7,93,0.00%
ERIE INDEMNITY COMPANY-CL A CLASS'A' COM,2311711,0,49,0.00%
ERSTE GROUP BANK AG,5289837,29,"2,908",0.01%
ESSENTIAL UTILITIES INC,BLCF3J9,1,57,0.00%
ESSENTRA PLC,B074435,716,"1,927",0.00%
ESSEX PROPERTY TRUST INC COM USD0.0001,2316619,0,75,0.00%
ESSILORLUXOTTICA,7212477,1,222,0.00%
ESSITY AKTIEBOLAG-B,BF1K7P7,1,49,0.00%
EURAZEO SE,7042395,0,3,0.00%
EUROFINS SCIENTIFIC,BNDPYV1,0,23,0.00%
EURONEXT NV ENX,BNBNSG0,63,"11,361",0.02%
EVEREST GROUP LTD,2556868,0,39,0.00%
EVERGY INC,BFMXGR0,0,43,0.00%
EVERSOURCE ENERGY,BVVN4Q8,1,70,0.00%
EVOLUTION AB,BJXSCH4,0,40,0.00%
EVOLUTION MINING LTD,B3X0F91,"4,176","20,086",0.04%
EVONIK INDUSTRIES AG EVONIK INDUSTRIES A,B5ZQ9D3,1,22,0.00%
EVT LTD,BDG0N49,159,"1,808",0.00%
EXACT SCIENCES CORP COM USD0.01,2719951,32,"2,945",0.01%
EXELON CORP COM,2670519,2,121,0.00%
EXOR NV,BMJ1825,0,17,0.00%
EXPAND ENERGY CORP,BMZ5LZ5,0,70,0.00%
EXPEDIA INC-W/I COM,B748CK2,0,128,0.00%
EXPEDITORS INTL WASH INC COM,2325507,0,69,0.00%
EXPERIAN PLC,B19NLV4,2,128,0.00%
EXTRA SPACE STORAGE INC COM USD0.01,B02HWR9,0,101,0.00%
EXXON MOBIL CORP COM,2326618,37,"6,353",0.01%
EZAKI GLICO CO LTD NPV,6327703,16,773,0.00%
F5 INC,2427599,0,42,0.00%
FACTSET RESEARCH SYSTEMS INC COM USD0.01,2329770,13,"9,712",0.02%
FAIR ISAAC & CO INC COM,2330299,0,164,0.00%
FAIRFAX FINANCIAL HLDGS LTD,2566351,1,"2,929",0.01%
FALCON METALS LTD/AUSTRALIA,BMDVXZ9,65,8,0.00%
FANUC CORP,6356934,2,81,0.00%
FARASIS ENERGY GAN ZHOU CO-A,BNHPNL0,13,32,0.00%
FAST RETAILING CO LTD NPV,6332439,0,204,0.00%
FASTENAL CO,2332262,1,125,0.00%
FASTIGHETS AB BALDER-B SHRS,BPMRNZ9,1,12,0.00%
FAURECIA EUR7,4400446,1,10,0.00%
FEDEX CORP COM,2142784,1,240,0.00%
FERGUSON ENTERPRISES INC,BS6VHW3,10,"2,786",0.01%
FERRARI NV RACE,BD6G507,0,196,0.00%
FERROGLOBE PLC,BYW6GV6,517,"3,171",0.01%
FERROGLOBE REPRESENTSTION &,BBG00F9W7QW6 (Bloomberg),1,0,0.00%
FERROVIAL SE,BRS7CF0,1,61,0.00%
FICONT INDUSTRY BEIJING IN-A,BMF7P04,0,3,0.00%
FIDELITY NATIONAL INFO SERV,2769796,67,"8,772",0.02%
FIFTH THIRD BANCORP COM,2336747,1,83,0.00%
FINECOBANK SPA,BNGN9Z1,3,76,0.00%
FIREFINCH LTD,BKPJ9T3,"1,983",397,0.00%
FIREFLY METALS LTD,BPDXXB2,"1,439","1,331",0.00%
FIRST ABU DHABI BANK PJSC,6624471,301,"1,816",0.00%
FIRST CITIZENS BCSHS  -CL A,2355582,0,87,0.00%
FIRST QUANTUM MINERALS LTD COM,2347608,96,"2,001",0.00%
FIRST SOLAR INC COM STK USD0.001,B1HMF22,0,66,0.00%
FIRSTCASH HOLDINGS INC,BMF5Q83,4,600,0.00%
