Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
High Growth,Cash,JPMorgan Chase Bank NA,Colombia Peso,,5038.0,0.0,,,AustralianSuper,1.219343881534313e-05,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Czech Republic Koruna,,7363.0,0.0,,,AustralianSuper,1.7820621277763294e-05,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Denmark Krone,,17115339.0,0.04,,,AustralianSuper,0.0414241442835164,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Euro Member Countries,,14210947.0,0.04,,,AustralianSuper,0.0343946631108741,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Hong Kong Dollar,,284130.0,0.0,,,AustralianSuper,0.0006876780013107,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Hungary Forint,,12394.0,0.0,,,AustralianSuper,2.999711803838086e-05,,,,
High Growth,Cash,JPMorgan Chase Bank NA,India Rupee,,443315.0,0.0,,,AustralianSuper,0.0010729524272377,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Israel Shekel,,6636.0,0.0,,,AustralianSuper,1.6061067879836644e-05,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Japan Yen,,11743915.0,0.03,,,AustralianSuper,0.0284237215174851,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Korea (South) Won,,891807.0,0.0,,,AustralianSuper,0.0021584347140918,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Mexico Peso,,41353.0,0.0,,,AustralianSuper,0.000100086398438,,,,
High Growth,Cash,JPMorgan Chase Bank NA,New Zealand Dollar,,222677.0,0.0,,,AustralianSuper,0.0005389437028749,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Norway Krone,,48219.0,0.0,,,AustralianSuper,0.0001167041338302,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Pakistan Rupee,,172.0,0.0,,,AustralianSuper,4.162904875424808e-07,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Philippines Peso,,8346.0,0.0,,,AustralianSuper,2.0199769819939217e-05,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Poland Zloty,,35224.0,0.0,,,AustralianSuper,8.525241937904851e-05,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Qatar Riyal,,677.0,0.0,,,AustralianSuper,1.6385387213154622e-06,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Russia Ruble,,676069.0,0.0,,,AustralianSuper,0.0016362854280369,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Singapore Dollar,,356906.0,0.0,,,AustralianSuper,0.0008638172834118,,,,
High Growth,Cash,JPMorgan Chase Bank NA,South Africa Rand,,22067.0,0.0,,,AustralianSuper,5.340861737558096e-05,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Sweden Krona,,66456.0,0.0,,,AustralianSuper,0.0001608430269774,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Switzerland Franc,,10406837.0,0.03,,,AustralianSuper,0.0251876002820065,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Taiwan New Dollar,,590622.0,0.0,,,AustralianSuper,0.001429478606589,,,,
High Growth,Cash,JPMorgan Chase Bank NA,Turkey Lira,,1423.0,0.0,,,AustralianSuper,3.444077696354362e-06,,,,
High Growth,Cash,JPMorgan Chase Bank NA,United Kingdom Pound,,11699324.0,0.03,,,AustralianSuper,0.0283157982085898,,,,
High Growth,Cash,JPMorgan Chase Bank NA,United States Dollar,,106928457.0,0.27,,,AustralianSuper,0.2587982528877627,,,,
High Growth,Cash,Kommunalbanken AS,Euro Member Countries,,517937.0,0.0,,,AustralianSuper,0.0012535595711993,,,,
High Growth,Cash,Korea Development Bank/London,United States Dollar,,1754832.0,0.0,,,AustralianSuper,0.0042472085397392,,,,
High Growth,Cash,Morgan Stanley & Co International PLC,Australia Dollar,,395091.0,0.0,,,AustralianSuper,0.0009562361919398,,,,
High Growth,Cash,MUFG Bank Ltd/London,Euro Member Countries,,2279471.0,0.01,,,AustralianSuper,0.0055169889181915,,,,
High Growth,Cash,MUFG Bank Ltd/London,United Kingdom Pound,,980373.0,0.0,,,AustralianSuper,0.0023727904310667,,,,
High Growth,Cash,MUFG Bank Ltd/London,United States Dollar,,2616660.0,0.01,,,AustralianSuper,0.0063330852740285,,,,
High Growth,Cash,National Australia Bank Ltd,Australia Dollar,,136011956.0,0.35,,,AustralianSuper,0.3291888574118979,,,,
High Growth,Cash,National Australia Bank Ltd,United Kingdom Pound,,980373.0,0.0,,,AustralianSuper,0.0023727904310667,,,,
High Growth,Cash,National Australia Bank Ltd,United States Dollar,,17586108.0,0.05,,,AustralianSuper,0.0425635434493879,,,,
High Growth,Cash,Rabobank Australia Ltd,Australia Dollar,,8762768.0,0.02,,,AustralianSuper,0.021208470714777,,,,
High Growth,Cash,Royal Bank of Canada,Australia Dollar,,4534464.0,0.01,,,AustralianSuper,0.0109747338913013,,,,
High Growth,Cash,Royal Bank of Canada,United Kingdom Pound,,1176448.0,0.0,,,AustralianSuper,0.0028473494853975,,,,
High Growth,Cash,Royal Bank of Canada,United States Dollar,,19344718.0,0.05,,,AustralianSuper,0.0468198958580918,,,,
