Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Balanced,Cash,JPMorgan Chase Bank NA,Canada Dollar,,1350157.0,0.0,,,AustralianSuper,0.0004540553700174,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Chile Peso,,12754.0,0.0,,,AustralianSuper,4.289147254136424e-06,,,,
Balanced,Cash,JPMorgan Chase Bank NA,China Yuan Renminbi (offshore),,2.0,0.0,,,AustralianSuper,6.725964017777046e-10,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Colombia Peso,,25035.0,0.0,,,AustralianSuper,8.419225459252422e-06,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Czech Republic Koruna,,285546.0,0.0,,,AustralianSuper,9.602860607100828e-05,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Denmark Krone,,84727168.0,0.04,,,AustralianSuper,0.0284935941648075,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Euro Member Countries,,105043144.0,0.04,,,AustralianSuper,0.0353258203429086,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Hong Kong Dollar,,1403932.0,0.0,,,AustralianSuper,0.0004721398057702,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Hungary Forint,,61250.0,0.0,,,AustralianSuper,2.0598264804442213e-05,,,,
Balanced,Cash,JPMorgan Chase Bank NA,India Rupee,,3012688.0,0.0,,,AustralianSuper,0.0010131615542394,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Israel Shekel,,30247.0,0.0,,,AustralianSuper,1.017201168228512e-05,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Japan Yen,,104114837.0,0.04,,,AustralianSuper,0.0350136323689361,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Korea (South) Won,,5363546.0,0.0,,,AustralianSuper,0.0018037508701846,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Malaysia Ringgit,,1.0,0.0,,,AustralianSuper,3.3629820088885247e-10,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Mexico Peso,,1031994.0,0.0,,,AustralianSuper,0.000347057725528,,,,
Balanced,Cash,JPMorgan Chase Bank NA,New Zealand Dollar,,8024846.0,0.0,,,AustralianSuper,0.0026987412722101,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Norway Krone,,17968928.0,0.01,,,AustralianSuper,0.0060429181583013,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Pakistan Rupee,,850.0,0.0,,,AustralianSuper,2.858534707555246e-07,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Philippines Peso,,41251.0,0.0,,,AustralianSuper,1.3872637084866052e-05,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Poland Zloty,,278328.0,0.0,,,AustralianSuper,9.360120565699252e-05,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Qatar Riyal,,3344.0,0.0,,,AustralianSuper,1.1245811837723228e-06,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Romania Leu,,1.0,0.0,,,AustralianSuper,3.3629820088885247e-10,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Russia Ruble,,3341427.0,0.0,,,AustralianSuper,0.0011237158885014,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Singapore Dollar,,2531717.0,0.0,,,AustralianSuper,0.0008514118722597,,,,
Balanced,Cash,JPMorgan Chase Bank NA,South Africa Rand,,108820.0,0.0,,,AustralianSuper,3.6595970220724925e-05,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Sweden Krona,,3300982.0,0.0,,,AustralianSuper,0.0011101143077664,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Switzerland Franc,,56707177.0,0.02,,,AustralianSuper,0.0190705216025857,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Taiwan New Dollar,,2919111.0,0.0,,,AustralianSuper,0.0009816917774948,,,,
Balanced,Cash,JPMorgan Chase Bank NA,Turkey Lira,,7031.0,0.0,,,AustralianSuper,2.3645126504495216e-06,,,,
Balanced,Cash,JPMorgan Chase Bank NA,United Kingdom Pound,,92775584.0,0.04,,,AustralianSuper,0.0312002619856126,,,,
Balanced,Cash,JPMorgan Chase Bank NA,United States Dollar,,43238541.0,0.02,,,AustralianSuper,0.0145410435473588,,,,
Balanced,Cash,Kommunalbanken AS,Euro Member Countries,,5910288.0,0.0,,,AustralianSuper,0.0019876192211349,,,,
Balanced,Cash,Korea Development Bank/London,United States Dollar,,10811417.0,0.0,,,AustralianSuper,0.0036358600861591,,,,
Balanced,Cash,Morgan Stanley & Co International PLC,Australia Dollar,,21100925.0,0.01,,,AustralianSuper,0.0070962031145906,,,,
Balanced,Cash,MUFG Bank Ltd/London,Euro Member Countries,,26011552.0,0.01,,,AustralianSuper,0.0087476381399268,,,,
Balanced,Cash,MUFG Bank Ltd/London,United Kingdom Pound,,6706250.0,0.0,,,AustralianSuper,0.0022552998097108,,,,
Balanced,Cash,MUFG Bank Ltd/London,United States Dollar,,16121087.0,0.01,,,AustralianSuper,0.0054214925544726,,,,
Balanced,Cash,National Australia Bank Ltd,Australia Dollar,,1041141285.0,0.44,,,AustralianSuper,0.350133941016608,,,,
Balanced,Cash,National Australia Bank Ltd,United Kingdom Pound,,6706250.0,0.0,,,AustralianSuper,0.0022552998097108,,,,
Balanced,Cash,National Australia Bank Ltd,United States Dollar,,108346978.0,0.05,,,AustralianSuper,0.036436893773144,,,,
Balanced,Cash,Rabobank Australia Ltd,Australia Dollar,,72082652.0,0.03,,,AustralianSuper,0.0242412661828972,,,,
Balanced,Cash,Royal Bank of Canada,Australia Dollar,,58407452.0,0.02,,,AustralianSuper,0.019642321026102,,,,
Balanced,Cash,Royal Bank of Canada,United Kingdom Pound,,8047500.0,0.0,,,AustralianSuper,0.002706359771653,,,,
Balanced,Cash,Royal Bank of Canada,United States Dollar,,119181675.0,0.05,,,AustralianSuper,0.0400805828814199,,,,
Balanced,Cash,Royal Bank of Canada/London,Canada Dollar,,86632252.0,0.04,,,AustralianSuper,0.0291342704865496,,,,
Balanced,Cash,Royal Bank of Canada/Sydney,Australia Dollar,,454458492.0,0.19,,,AustralianSuper,0.1528335732382609,,,,
Balanced,Cash,Societe Generale SA,Australia Dollar,,43761237.0,0.02,,,AustralianSuper,0.0147168252717706,,,,
Balanced,Cash,Standard Chartered Bank,Australia Dollar,,6714538.0,0.0,,,AustralianSuper,0.0022580870491998,,,,
Balanced,Cash,State Street Bank and Trust Co,Australia Dollar,,39686168.0,-0.02,,,AustralianSuper,0.0133463868985727,,,,
Balanced,Cash,Sumitomo Mitsui Banking Corp,United States Dollar,,16195322.0,0.01,,,AustralianSuper,0.0054464576514156,,,,
Balanced,Cash,Sumitomo Mitsui Banking Corp/Sydney,Australia Dollar,,17537666.0,0.01,,,AustralianSuper,0.0058978855235895,,,,
Balanced,Cash,UBS AG,Australia Dollar,,1632517.0,0.0,,,AustralianSuper,0.0005490125300204,,,,
Balanced,Cash,Westpac Banking Corp,Australia Dollar,,244823679.0,0.1,,,AustralianSuper,0.0823337627826899,,,,
Balanced,Fixed Income,ACM Auto Trust 2024-1,,,10410855.0,0.0,,,AustralianSuper,0.0035011518062147,,,,
Balanced,Fixed Income,Asimi Funding 2024-1 PLC,,,3030275.0,0.0,,,AustralianSuper,0.0010190760306984,,,,
Balanced,Fixed Income,Bridge 2024-SFR1 Trust,,,2955855.0,0.0,,,AustralianSuper,0.0009940487185883,,,,
Balanced,Fixed Income,Firstmac Asset Funding Trust No. 1 Series Auto No. 2,,,2123203.0,0.0,,,AustralianSuper,0.0007140293490218,,,,
Balanced,Fixed Income,Flexicommercial Abs Trust 2023-1,,,3165943.0,0.0,,,AustralianSuper,0.0010647009350166,,,,
Balanced,Fixed Income,FP Turbo Series 2023-1 Trust,,,8471784.0,0.0,,,AustralianSuper,0.0028490457175189,,,,
Balanced,Fixed Income,Handy ABS 2024-1 Trust,,,2072715.0,0.0,,,AustralianSuper,0.0006970503254553,,,,
Balanced,Fixed Income,Horizon Aircraft Finance IV Ltd,,,8249319.0,0.0,,,AustralianSuper,0.0027742311382582,,,,
Balanced,Fixed Income,Judo Capital Markets Trust 2023-1,,,16773637.0,0.01,,,AustralianSuper,0.0056409439454626,,,,
Balanced,Fixed Income,Metro Finance 2023-2 Trust,,,12609689.0,0.01,,,AustralianSuper,0.0042406157244679,,,,
Balanced,Fixed Income,Navigator 2024-1 Aviation Ltd,,,5474768.0,0.0,,,AustralianSuper,0.0018411546286838,,,,
Balanced,Fixed Income,Pagaya AI Technology in Housing Trust 2023-1,,,512600.0,0.0,,,AustralianSuper,0.0001723864577756,,,,
Balanced,Fixed Income,Panorama Auto Trust 2023-3,,,8525986.0,0.0,,,AustralianSuper,0.0028672737526035,,,,
Balanced,Fixed Income,Panorama Auto Trust 2024-1,,,7940958.0,0.0,,,AustralianSuper,0.0026705298887339,,,,
Balanced,Fixed Income,Perpetual Corporate Trust Ltd,,,5729857.0,0.0,,,AustralianSuper,0.0019269406004503,,,,
Balanced,Fixed Income,Prodigy Finance CM2021-1 DAC,,,654434.0,0.0,,,AustralianSuper,0.0002200849768004,,,,
Balanced,Fixed Income,ReadyCap Lending Small Business Loan Trust 2023-3,,,4413759.0,0.0,,,AustralianSuper,0.0014843392108569,,,,
Balanced,Fixed Income,SLM Student Loan Trust 2004-10,,,10737377.0,0.0,,,AustralianSuper,0.0036109605673653,,,,
Balanced,Fixed Income,Small Business Origination Loan Trust 2024-1 DAC,,,3908668.0,0.0,,,AustralianSuper,0.0013144780162718,,,,
Balanced,Fixed Income,STAR 2022-SFR3 Trust,,,4580168.0,0.0,,,AustralianSuper,0.0015403022581686,,,,
Balanced,Fixed Income,STAR 2024-SFR4 Trust,,,12123067.0,0.01,,,AustralianSuper,0.004076965621355,,,,
Balanced,Fixed Income,Taurus 2023-1 Trust,,,9092344.0,0.0,,,AustralianSuper,0.0030577389290625,,,,
Balanced,Fixed Income,Taurus 2024-1PP Trust,,,12517421.0,0.01,,,AustralianSuper,0.0042095861620683,,,,
Balanced,Fixed Income,Towd Point Mortgage Trust 2019-MH1,,,3605573.0,0.0,,,AustralianSuper,0.0012125477130734,,,,
Balanced,Fixed Income,Trustee For Angle Asset Finance - Radian Trust 2023-3/The,,,4208678.0,0.0,,,AustralianSuper,0.0014153708395204,,,,
Balanced,Fixed Income,United Airlines 2020-1 Class A Pass Through Trust,,,3229997.0,0.0,,,AustralianSuper,0.0010862421799763,,,,
Balanced,Fixed Income,Vantage Data Centers Jersey Borrower Spv Ltd,,,7882534.0,0.0,,,AustralianSuper,0.0026508820026452,,,,
Balanced,Fixed Income,VINE 2023-SFR1 Trust,,,12718615.0,0.01,,,AustralianSuper,0.0042772473422979,,,,
Balanced,Fixed Income,Wisr Freedom Trust Series 2023-1,,,19498971.0,0.01,,,AustralianSuper,0.0065574688664839,,,,
Balanced,Fixed Income,Zip Master Trust Series 2024-2,,,5341559.0,0.0,,,AustralianSuper,0.0017963566816416,,,,
Balanced,Fixed Income,ABB Finance BV,,,822770.0,0.0,,,AustralianSuper,0.0002766960707453,,,,
Balanced,Fixed Income,Abbott Ireland Financing DAC,,,1668416.0,0.0,,,AustralianSuper,0.0005610852991341,,,,
Balanced,Fixed Income,Abbott Laboratories,,,3224297.0,0.0,,,AustralianSuper,0.0010843252802313,,,,
Balanced,Fixed Income,AbbVie Inc,,,12050592.0,0.01,,,AustralianSuper,0.0040525924092455,,,,
Balanced,Fixed Income,Abertis Infraestructuras SA,,,1579696.0,0.0,,,AustralianSuper,0.0005312489227513,,,,
Balanced,Fixed Income,ABN AMRO Bank NV,,,5053264.0,0.0,,,AustralianSuper,0.0016994035918164,,,,
Balanced,Fixed Income,Accor Sa,,,692917.0,0.0,,,AustralianSuper,0.0002330267404653,,,,
Balanced,Fixed Income,Achmea BV,,,932196.0,0.0,,,AustralianSuper,0.0003134958376757,,,,
Balanced,Fixed Income,Adecco International Financial Services BV,,,590249.0,0.0,,,AustralianSuper,0.0001984996767764,,,,
Balanced,Fixed Income,Adidas Ag,,,721799.0,0.0,,,AustralianSuper,0.0002427397051033,,,,
Balanced,Fixed Income,AEP Texas Inc,,,2280041.0,0.0,,,AustralianSuper,0.0007667736862528,,,,
Balanced,Fixed Income,AEP Transmission Co LLC,,,2221954.0,0.0,,,AustralianSuper,0.0007472391326577,,,,
Balanced,Fixed Income,AerCap Ireland Capital DAC / AerCap Global Aviation Trust,,,8618479.0,0.0,,,AustralianSuper,0.0028983789820983,,,,
Balanced,Fixed Income,Aib Group Plc,,,712275.0,0.0,,,AustralianSuper,0.0002395368010381,,,,
Balanced,Fixed Income,Air Lease Corp,,,4899061.0,0.0,,,AustralianSuper,0.0016475454003447,,,,
Balanced,Fixed Income,Air Liquide Finance SA,,,980085.0,0.0,,,AustralianSuper,0.0003296008222181,,,,
Balanced,Fixed Income,Air Products And Chemicals Inc,,,1791948.0,0.0,,,AustralianSuper,0.0006026288884863,,,,
Balanced,Fixed Income,Airbus Se,,,1593577.0,0.0,,,AustralianSuper,0.0005359170780778,,,,
Balanced,Fixed Income,Akzo Nobel NV,,,664458.0,0.0,,,AustralianSuper,0.0002234560299662,,,,
Balanced,Fixed Income,Alectra Inc,,,162233.0,0.0,,,AustralianSuper,5.45586660248012e-05,,,,
Balanced,Fixed Income,Alexandria Real Estate Equities Inc,,,1993406.0,0.0,,,AustralianSuper,0.000670378851441,,,,
Balanced,Fixed Income,Alimentation Couche-Tard Inc,,,986133.0,0.0,,,AustralianSuper,0.0003316347537371,,,,
Balanced,Fixed Income,Allianz Finance II BV,,,1129898.0,0.0,,,AustralianSuper,0.0003799826645879,,,,
Balanced,Fixed Income,Allianz Se,,,625577.0,0.0,,,AustralianSuper,0.0002103804196174,,,,
Balanced,Fixed Income,Ally Financial Inc,,,1078298.0,0.0,,,AustralianSuper,0.000362629677422,,,,
Balanced,Fixed Income,Alstom SA,,,1108415.0,0.0,,,AustralianSuper,0.0003727579703382,,,,
Balanced,Fixed Income,Altagas Ltd,,,906888.0,0.0,,,AustralianSuper,0.0003049848028076,,,,
Balanced,Fixed Income,AltaLink LP,,,593780.0,0.0,,,AustralianSuper,0.0001996871457237,,,,
Balanced,Fixed Income,Amadeus It Group Sa,,,725668.0,0.0,,,AustralianSuper,0.0002440408428426,,,,
Balanced,Fixed Income,AMAL Trustees Pty Ltd,,,7925122.0,0.0,,,AustralianSuper,0.0026652042704246,,,,
Balanced,Fixed Income,Amazon.Com Inc,,,10393211.0,0.0,,,AustralianSuper,0.0034952181607582,,,,
Balanced,Fixed Income,Amcor Flexibles North America Inc,,,2960787.0,0.0,,,AustralianSuper,0.0009957073413151,,,,
Balanced,Fixed Income,American Express Co,,,9364059.0,0.0,,,AustralianSuper,0.003149116194717,,,,
Balanced,Fixed Income,American Homes 4 Rent LP,,,2691245.0,0.0,,,AustralianSuper,0.0009050608516511,,,,
Balanced,Fixed Income,American Honda Finance Corp,,,6968400.0,0.0,,,AustralianSuper,0.0023434603830738,,,,
Balanced,Fixed Income,American Medical Systems Europe BV,,,1146644.0,0.0,,,AustralianSuper,0.0003856143142599,,,,
Balanced,Fixed Income,American Tower Corp,,,8074975.0,0.0,,,AustralianSuper,0.0027155995647224,,,,
Balanced,Fixed Income,Amgen Inc,,,14835778.0,0.01,,,AustralianSuper,0.0049892454501864,,,,
Balanced,Fixed Income,AMP Bank Ltd,,,9251628.0,0.0,,,AustralianSuper,0.0031113058516929,,,,
Balanced,Fixed Income,Ampol Ltd,,,63593180.0,0.03,,,AustralianSuper,0.0213862720228009,,,,
Balanced,Fixed Income,Amprion GmbH,,,1737216.0,0.0,,,AustralianSuper,0.0005842226153553,,,,
