Effective Date,Option,Asset Class,Internal/External,Name/kind of investment item,Units,Value (AUD),Weighting,% Ownership / Property Held,Currency,Security Identifier
31/12/2024,High Growth,Cash,,Citigroup Inc,,-38412.99395,-0.00001039,,JPY,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,233965.672,0.0000633,,JPY,
31/12/2024,High Growth,Cash,,Warburg Dillon,,1736.26436,0.00000047,,JPY,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,85432.55237,0.00002311,,KRW,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,1.747327,0,,KWD,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,1784.701318,0.00000048,,MXN,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,14070.77915,0.00000381,,MYR,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,32451.311,0.00000878,,NOK,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,97933.66331,0.0000265,,NZD,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,461.415222,0.00000012,,PHP,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,6143.864226,0.00000166,,PLN,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,6004.066884,0.00000162,,QAR,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,0.023647,0,,RUB,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,50275.77571,0.0000136,,SEK,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,28558.45697,0.00000773,,SGD,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,601.093355,0.00000016,,THB,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,3210.614132,0.00000087,,TRY,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,103707.9435,0.00002806,,TWD,
31/12/2024,High Growth,Cash,,Citigroup Inc,,-129763.5708,-0.00003511,,USD,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,7636214.854,0.00206605,,USD,
31/12/2024,High Growth,Cash,,Macquarie Group Ltd,,11.049208,0,,USD,
31/12/2024,High Growth,Cash,,Warburg Dillon,,46865.39429,0.00001268,,USD,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,0.000422,0,,ZA1,
31/12/2024,High Growth,Cash,,JPMorgan Chase & Co,,5213.334235,0.00000141,,ZAR,
