Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Cash,-,STATE STREET BANK AND TRUST COMPANY,15.0,0.0,-,CNY,,Rest,High Growth,2.984952014541239e-07,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,12.0,0.0,-,KRW,,Rest,High Growth,2.3879616116329916e-07,,,,
Cash,-,WESTPAC BANKING CORP.,9.0,0.0,-,AUD,,Rest,High Growth,1.7909712087247437e-07,,,,
Cash,-,MEMBERS EQUITY BANK LTD,4.0,0.0,-,AUD,,Rest,High Growth,7.95987203877664e-08,,,,
Cash,-,COMMONWEALTH BANK OF AUSTRALIA LTD.,1.0,0.0,-,AUD,,Rest,High Growth,1.989968009694159e-08,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,1.0,0.0,-,SAR,,Rest,High Growth,1.989968009694159e-08,,,,
Fixed Income,Internally,NATIONAL AUSTRALIA BANK LTD.,1202772.0,0.02,-,-,,Rest,High Growth,0.0239347780295586,,,,
Fixed Income,Internally,WESTPAC BANKING CORP.,1069296.0,0.02,-,-,,Rest,High Growth,0.0212786483289392,,,,
Fixed Income,Internally,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,927291.0,0.02,-,-,,Rest,High Growth,0.018452794256773,,,,
Fixed Income,Internally,BENDIGO AND ADELAIDE BANK LTD.,893806.0,0.02,-,-,,Rest,High Growth,0.0177864534687269,,,,
Fixed Income,Internally,BANK OF TOKYO-MITSUBISHI UFJ LTD.,728884.0,0.01,-,-,,Rest,High Growth,0.0145045584277791,,,,
Fixed Income,Internally,OVERSEAS-CHINESE BANKING CORP. LTD.,595153.0,0.01,-,-,,Rest,High Growth,0.011843354308735,,,,
Fixed Income,Internally,NBN CO. LTD.,568393.0,0.01,-,-,,Rest,High Growth,0.0113108388693409,,,,
Fixed Income,Internally,COMMONWEALTH BANK OF AUSTRALIA LTD.,422355.0,0.01,-,-,,Rest,High Growth,0.0084047293873437,,,,
Fixed Income,Internally,AIRSERVICES AUSTRALIA,399913.0,0.01,-,-,,Rest,High Growth,0.0079581407666082,,,,
Fixed Income,Internally,CANADIAN IMPERIAL BANK OF COMMERCE,339500.0,0.01,-,-,,Rest,High Growth,0.0067559413929116,,,,
Fixed Income,Internally,BANK OF CHINA LTD.,310635.0,0.01,-,-,,Rest,High Growth,0.0061815371269134,,,,
Fixed Income,Internally,MACQUARIE BANK LTD,268019.0,0.01,-,-,,Rest,High Growth,0.0053334923599021,,,,
Fixed Income,Internally,BANK OF QUEENSLAND LTD.,248248.0,0.0,-,-,,Rest,High Growth,0.0049400557847055,,,,
Fixed Income,Internally,SUMITOMO MITSUI BANKING CORP.,221214.0,0.0,-,-,,Rest,High Growth,0.0044020878329648,,,,
Fixed Income,Internally,NORFINA LTD.,178088.0,0.0,-,-,,Rest,High Growth,0.0035438942291041,,,,
Fixed Income,Internally,ROYAL BANK OF CANADA,176118.0,0.0,-,-,,Rest,High Growth,0.0035046918593131,,,,
Fixed Income,Internally,MIZUHO BANK LTD.,143326.0,0.0,-,-,,Rest,High Growth,0.0028521415495742,,,,
Fixed Income,Internally,UNITED OVERSEAS BANK LTD.,129005.0,0.0,-,-,,Rest,High Growth,0.0025671582309059,,,,
Fixed Income,Internally,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,126942.0,0.0,-,-,,Rest,High Growth,0.0025261051908659,,,,
Fixed Income,Internally,UBS GROUP AG,124878.0,0.0,-,-,,Rest,High Growth,0.0024850322511458,,,,
