Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean,Domain,Parsed_Name,Sector,Description
Cash,-,COMMONWEALTH BANK OF AUSTRALIA LTD.,30.0,0.0,-,AUD,,Rest,Balanced,1.7440156571958824e-06,,,,
Cash,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,18.0,0.0,-,AUD,,Rest,Balanced,1.0464093943175294e-06,,,,
Cash,-,MORGAN STANLEY,15.0,0.0,-,EUR,,Rest,Balanced,8.720078285979412e-07,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,3.0,0.0,-,THB,,Rest,Balanced,1.7440156571958825e-07,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,2.0,0.0,-,KRW,,Rest,Balanced,1.1626771047972549e-07,,,,
Cash,-,STATE STREET BANK AND TRUST COMPANY,4093977.0,-0.24,-,AUD,,Rest,Balanced,0.2379986662733276,,,,
Fixed Income,Internally,AUSTRALIA GOVERNMENT BONDS,45070226.0,2.6,-,-,,Rest,Balanced,2.6201059939118982,,,,
Fixed Income,Internally,NATIONAL AUSTRALIA BANK LTD.,19440969.0,1.12,-,-,,Rest,Balanced,1.1301784775686592,,,,
Fixed Income,Internally,WESTPAC BANKING CORP.,19376883.0,1.12,-,-,,Rest,Balanced,1.1264529113217574,,,,
Fixed Income,Internally,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,16593263.0,0.96,-,-,,Rest,Balanced,0.9646303491989706,,,,
Fixed Income,Internally,NEW SOUTH WALES TREASURY CORP.,16438089.0,0.95,-,-,,Rest,Balanced,0.95560948634598,,,,
Fixed Income,Internally,BENDIGO AND ADELAIDE BANK LTD.,14672876.0,0.85,-,-,,Rest,Balanced,0.8529908493364564,,,,
Fixed Income,Internally,TREASURY CORPORATION OF VICTORIA,13336929.0,0.77,-,-,,Rest,Balanced,0.7753270998303274,,,,
Fixed Income,Internally,BANK OF TOKYO-MITSUBISHI UFJ LTD.,11464232.0,0.66,-,-,,Rest,Balanced,0.6664600035242022,,,,
Fixed Income,Internally,QUEENSLAND TREASURY CORP.,10564885.0,0.61,-,-,,Rest,Balanced,0.6141774952157973,,,,
Fixed Income,Internally,OVERSEAS-CHINESE BANKING CORP. LTD.,9360861.0,0.54,-,-,,Rest,Balanced,0.5441829382944768,,,,
Fixed Income,Internally,NBN CO. LTD.,8939938.0,0.52,-,-,,Rest,Balanced,0.5197130615453481,,,,
Fixed Income,Internally,COMMONWEALTH BANK OF AUSTRALIA LTD.,7735295.0,0.45,-,-,,Rest,Balanced,0.449682519767634,,,,
Fixed Income,Internally,AIRSERVICES AUSTRALIA,6290024.0,0.36,-,-,,Rest,Balanced,0.3656633446712625,,,,
Fixed Income,Internally,CANADIAN IMPERIAL BANK OF COMMERCE,6140182.0,0.35,-,-,,Rest,Balanced,0.3569524515344109,,,,
Fixed Income,Internally,BANK OF CHINA LTD.,4885814.0,0.28,-,-,,Rest,Balanced,0.2840312038048947,,,,
Fixed Income,Internally,BANK OF QUEENSLAND LTD.,4877540.0,0.28,-,-,,Rest,Balanced,0.2835502042866401,,,,
Fixed Income,Internally,MACQUARIE BANK LTD,4333683.0,0.25,-,-,,Rest,Balanced,0.2519337001774541,,,,
Fixed Income,Internally,ROYAL BANK OF CANADA,4330449.0,0.25,-,-,,Rest,Balanced,0.2517456952896084,,,,
Fixed Income,Internally,SUNCORP-METWAY LTD.,4164254.0,0.24,-,-,,Rest,Balanced,0.2420841392180194,,,,
Fixed Income,Internally,ING BANK AUSTRALIA LTD.,3839752.0,0.22,-,-,,Rest,Balanced,0.2232195869249734,,,,
Fixed Income,Internally,SUMITOMO MITSUI BANKING CORP.,3479370.0,0.2,-,-,,Rest,Balanced,0.2022691919059212,,,,
Fixed Income,Internally,WESTERN AUSTRALIAN TREASURY CORP.,3360456.0,0.19,-,-,,Rest,Balanced,0.1953562626439282,,,,
Fixed Income,Internally,UBS GROUP AG,3323585.0,0.19,-,-,,Rest,Balanced,0.1932128092673792,,,,
Fixed Income,Internally,SOUTH AUSTRALIAN GOVERNMENT FINANCING AUTHORITY,3235722.0,0.19,-,-,,Rest,Balanced,0.1881049943444391,,,,
Fixed Income,Internally,NORFINA LTD.,2801039.0,0.16,-,-,,Rest,Balanced,0.1628351957472099,,,,
Fixed Income,Internally,UNITED OVERSEAS BANK LTD.,2530584.0,0.15,-,-,,Rest,Balanced,0.1471126039283128,,,,
Fixed Income,Internally,TASMANIAN PUBLIC FINANCE CORP.,2311094.0,0.13,-,-,,Rest,Balanced,0.1343528040417153,,,,
Fixed Income,Internally,MIZUHO BANK LTD.,2254307.0,0.13,-,-,,Rest,Balanced,0.1310515568042092,,,,
Fixed Income,Internally,FIRSTMAC MORTGAGE FUNDING TRUST NO. 4,1996610.0,0.12,-,-,,Rest,Balanced,0.1160706367104623,,,,
Fixed Income,Internally,APOLLO TRUST,1575283.0,0.09,-,-,,Rest,Balanced,0.0915772738838167,,,,
Fixed Income,Internally,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,1503303.0,0.09,-,-,,Rest,Balanced,0.0873927989836513,,,,
Fixed Income,Internally,IDOL TRUST,1168767.0,0.07,-,-,,Rest,Balanced,0.0679449315871286,,,,
